Gene,Length,Observed,Expected,Multiplicity,-log10(P)
FFI97_RS03215, 1055.7, 14, 0.81, 9.89, 12.5591
FFI97_RS04345, 1016.7, 14, 0.78, 10.27, 12.7759
FFI97_RS07650, 1466.3, 14, 1.12, 7.12, 10.6881
FFI97_RS08160, 1514.7, 14, 1.16, 6.90, 10.5059
FFI97_RS12175, 1809.3, 14, 1.39, 5.77, 9.51605
FFI97_RS20700, 1168.3, 14, 0.89, 8.94, 11.9774
FFI97_RS27930, 1110.3, 14, 0.85, 9.41, 12.269
FFI97_RS29775, 2129.3, 14, 1.63, 4.91, 8.62458
FFI97_RS05675, 1314.7, 13, 1.01, 7.38, 10.1598
FFI97_RS11360, 1502.7, 13, 1.15, 6.45, 9.46297
FFI97_RS18900, 801.3, 13, 0.61, 12.10, 12.7969
FFI97_RS20635, 959.7, 13, 0.74, 10.11, 11.8277
FFI97_RS21420, 1098.3, 13, 0.84, 8.83, 11.1084
FFI97_RS21565, 1912.3, 13, 1.46, 5.07, 8.22756
FFI97_RS28685, 1990.0, 13, 1.52, 4.87, 8.0266
FFI97_RS02425, 1006.0, 12, 0.77, 8.90, 10.3467
FFI97_RS03495, 1271.3, 12, 0.97, 7.04, 9.20782
FFI97_RS04595, 604.3, 12, 0.46, 14.81, 12.8796
FFI97_RS04910, 1365.3, 12, 1.05, 6.56, 8.86476
FFI97_RS05385, 837.0, 12, 0.64, 10.70, 11.2535
FFI97_RS17675, 1006.7, 12, 0.77, 8.89, 10.3434
FFI97_RS18195, 1720.0, 12, 1.32, 5.21, 7.76944
FFI97_RS19665, 732.3, 12, 0.56, 12.22, 11.9176
FFI97_RS21660, 1278.3, 12, 0.98, 7.00, 9.18134
FFI97_RS22565, 588.0, 12, 0.45, 15.23, 13.0174
FFI97_RS26265, 815.7, 12, 0.62, 10.98, 11.3815
FFI97_RS29745, 790.3, 12, 0.61, 11.33, 11.5382
FFI97_RS29915, 1999.3, 12, 1.53, 4.48, 7.0702
FFI97_RS30010, 1040.3, 12, 0.80, 8.61, 10.1823
FFI97_RS05585, 1480.0, 11, 1.13, 5.54, 7.45138
FFI97_RS13465, 2023.3, 11, 1.55, 4.06, 6.12166
FFI97_RS15120, 650.0, 11, 0.50, 12.63, 11.1305
FFI97_RS15655, 563.7, 11, 0.43, 14.56, 11.7851
FFI97_RS16130, 1379.7, 11, 1.06, 5.95, 7.75638
FFI97_RS18515, 966.3, 11, 0.74, 8.49, 9.33222
FFI97_RS20930, 1160.7, 11, 0.89, 7.07, 8.51577
FFI97_RS21030, 529.7, 11, 0.41, 15.49, 12.0719
FFI97_RS26845, 882.7, 11, 0.68, 9.30, 9.73946
FFI97_RS29460, 905.7, 11, 0.69, 9.06, 9.62356
FFI97_RS01845, 890.3, 10, 0.68, 8.38, 8.49051
FFI97_RS02135, 1155.3, 10, 0.88, 6.46, 7.43861
FFI97_RS02420, 660.0, 10, 0.51, 11.30, 9.72126
FFI97_RS03565, 514.3, 10, 0.39, 14.51, 10.7604
FFI97_RS08255, 465.0, 10, 0.36, 16.04, 11.1834
FFI97_RS11295, 580.7, 10, 0.44, 12.85, 10.2535
FFI97_RS12255, 637.0, 10, 0.49, 11.71, 9.86838
FFI97_RS12425, 881.3, 10, 0.68, 8.47, 8.53193
FFI97_RS13945, 735.0, 10, 0.56, 10.15, 9.27642
FFI97_RS16630, 990.7, 10, 0.76, 7.53, 8.05693
FFI97_RS18160, 306.7, 10, 0.23, 24.33, 12.9435
FFI97_RS18750, 938.3, 10, 0.72, 7.95, 8.2769
FFI97_RS19210, 543.3, 10, 0.42, 13.73, 10.5309
FFI97_RS19690, 700.0, 10, 0.54, 10.66, 9.47777
FFI97_RS21180, 904.0, 10, 0.69, 8.25, 8.42846
FFI97_RS26095, 1033.7, 10, 0.79, 7.22, 7.88533
FFI97_RS30475, 1104.7, 10, 0.85, 6.75, 7.61815
FFI97_RS31505, 1815.3, 10, 1.39, 4.11, 5.67386
FFI97_RS32610, 837.3, 10, 0.64, 8.91, 8.74111
FFI97_RS33160, 879.7, 10, 0.67, 8.48, 8.53965
FFI97_RS03405, 588.3, 9, 0.45, 11.41, 8.85089
FFI97_RS04605, 514.7, 9, 0.39, 13.05, 9.3518
FFI97_RS07220, 716.3, 9, 0.55, 9.37, 8.11961
FFI97_RS08025, 704.3, 9, 0.54, 9.53, 8.18207
FFI97_RS09880, 2537.0, 9, 1.94, 2.65, 3.71508
FFI97_RS10830, 910.7, 9, 0.70, 7.37, 7.23925
FFI97_RS12420, 1486.3, 9, 1.14, 4.52, 5.49526
FFI97_RS15815, 1779.7, 9, 1.36, 3.77, 4.87799
FFI97_RS16470, 488.7, 9, 0.37, 13.74, 9.54666
FFI97_RS17075, 645.0, 9, 0.49, 10.41, 8.50835
FFI97_RS18040, 1060.3, 9, 0.81, 6.33, 6.68899
FFI97_RS18155, 327.0, 9, 0.25, 20.53, 11.0686
FFI97_RS20190, 773.0, 9, 0.59, 8.69, 7.8389
FFI97_RS20575, 724.3, 9, 0.55, 9.27, 8.07858
FFI97_RS30240, 537.7, 9, 0.41, 12.49, 9.18777
FFI97_RS31350, 868.7, 9, 0.67, 7.73, 7.41131
FFI97_RS31565, 85.3, 9, 0.07, 78.69, 16.2472
FFI97_RS31885, 1578.3, 9, 1.21, 4.25, 5.28774
FFI97_RS32710, 685.7, 9, 0.53, 9.79, 8.28149
FFI97_RS02235, 365.3, 8, 0.28, 16.34, 9.13805
FFI97_RS03195, 1033.7, 8, 0.79, 5.77, 5.72093
FFI97_RS03605, 498.0, 8, 0.38, 11.98, 8.10081
FFI97_RS07440, 1761.3, 8, 1.35, 3.39, 4.08164
FFI97_RS10155, 1758.3, 8, 1.35, 3.39, 4.08669
FFI97_RS10215, 598.7, 8, 0.46, 9.97, 7.49079
FFI97_RS12090, 657.3, 8, 0.50, 9.08, 7.18324
FFI97_RS13100, 1089.0, 8, 0.83, 5.48, 5.55595
FFI97_RS14665, 735.0, 8, 0.56, 8.12, 6.81805
FFI97_RS20235, 658.0, 8, 0.50, 9.07, 7.17991
FFI97_RS21575, 606.7, 8, 0.46, 9.84, 7.44702
FFI97_RS22090, 957.0, 8, 0.73, 6.24, 5.96621
FFI97_RS24660, 1125.0, 8, 0.86, 5.31, 5.45349
FFI97_RS24670, 275.3, 8, 0.21, 21.68, 10.0942
FFI97_RS24970, 497.0, 8, 0.38, 12.01, 8.1075
FFI97_RS30055, 370.7, 8, 0.28, 16.10, 9.08927
FFI97_RS31620, 271.7, 8, 0.21, 21.97, 10.1397
FFI97_RS31995, 440.7, 8, 0.34, 13.54, 8.50888
FFI97_RS00510, 1328.7, 7, 1.02, 3.93, 4.03281
FFI97_RS02415, 735.0, 7, 0.56, 7.11, 5.66192
FFI97_RS04920, 775.3, 7, 0.59, 6.74, 5.51115
FFI97_RS04985, 889.0, 7, 0.68, 5.87, 5.12804
FFI97_RS06055, 1189.0, 7, 0.91, 4.39, 4.33038
FFI97_RS06240, 1156.7, 7, 0.89, 4.52, 4.40491
FFI97_RS07610, 1125.3, 7, 0.86, 4.64, 4.47939
FFI97_RS07640, 994.7, 7, 0.76, 5.25, 4.81704
FFI97_RS07845, 579.7, 7, 0.44, 9.01, 6.33879
FFI97_RS08435, 495.3, 7, 0.38, 10.54, 6.79236
FFI97_RS12360, 753.3, 7, 0.58, 6.93, 5.59231
FFI97_RS13600, 591.3, 7, 0.45, 8.83, 6.28159
FFI97_RS13905, 272.0, 7, 0.21, 19.20, 8.54992
FFI97_RS16555, 1104.0, 7, 0.85, 4.73, 4.53145
FFI97_RS16595, 760.0, 7, 0.58, 6.87, 5.56745
FFI97_RS16635, 789.0, 7, 0.60, 6.62, 5.46198
FFI97_RS16915, 1723.0, 7, 1.32, 3.03, 3.35547
FFI97_RS20100, 944.0, 7, 0.72, 5.53, 4.96139
FFI97_RS20530, 524.3, 7, 0.40, 9.96, 6.62778
FFI97_RS23690, 681.0, 7, 0.52, 7.67, 5.8783
FFI97_RS23705, 616.3, 7, 0.47, 8.47, 6.16294
FFI97_RS24565, 1882.3, 7, 1.44, 2.77, 3.13198
FFI97_RS25745, 904.3, 7, 0.69, 5.77, 5.08047
FFI97_RS25950, 783.7, 7, 0.60, 6.66, 5.48106
FFI97_RS26260, 1154.7, 7, 0.88, 4.52, 4.40959
FFI97_RS28610, 393.7, 7, 0.30, 13.27, 7.46129
FFI97_RS32065, 1097.7, 7, 0.84, 4.76, 4.54712
FFI97_RS32340, 2025.3, 7, 1.55, 2.58, 2.95003
FFI97_RS02210, 1630.3, 6, 1.25, 2.75, 2.73765
FFI97_RS02980, 519.0, 6, 0.40, 8.62, 5.40842
FFI97_RS05200, 982.0, 6, 0.75, 4.56, 3.87736
FFI97_RS05265, 1394.7, 6, 1.07, 3.21, 3.07881
FFI97_RS07250, 902.7, 6, 0.69, 4.96, 4.07455
FFI97_RS09000, 1709.0, 6, 1.31, 2.62, 2.63672
FFI97_RS14320, 576.3, 6, 0.44, 7.77, 5.1516
FFI97_RS14490, 1849.0, 6, 1.42, 2.42, 2.47039
FFI97_RS15875, 880.0, 6, 0.67, 5.09, 4.13444
FFI97_RS16040, 556.3, 6, 0.43, 8.05, 5.23798
FFI97_RS18140, 213.3, 6, 0.16, 20.98, 7.63836
FFI97_RS18525, 1837.3, 6, 1.41, 2.44, 2.48365
FFI97_RS18575, 434.0, 6, 0.33, 10.31, 5.85041
FFI97_RS20330, 990.3, 6, 0.76, 4.52, 3.85768
FFI97_RS22005, 650.3, 6, 0.50, 6.88, 4.85775
FFI97_RS23515, 1153.3, 6, 0.88, 3.88, 3.50639
FFI97_RS24635, 747.7, 6, 0.57, 5.99, 4.52179
FFI97_RS25810, 1649.7, 6, 1.26, 2.71, 2.71231
FFI97_RS25860, 774.0, 6, 0.59, 5.78, 4.43902
FFI97_RS26250, 1121.0, 6, 0.86, 3.99, 3.57142
FFI97_RS26270, 743.0, 6, 0.57, 6.02, 4.53679
FFI97_RS29000, 1322.0, 6, 1.01, 3.39, 3.19794
FFI97_RS29630, 1741.0, 6, 1.33, 2.57, 2.59726
FFI97_RS31095, 1319.3, 6, 1.01, 3.39, 3.20246
FFI97_RS00175, 613.0, 5, 0.47, 6.09, 3.88971
FFI97_RS01990, 474.7, 5, 0.36, 7.86, 4.40711
FFI97_RS02215, 1026.7, 5, 0.79, 3.63, 2.88273
FFI97_RS03230, 1090.7, 5, 0.84, 3.42, 2.76879
FFI97_RS04450, 689.7, 5, 0.53, 5.41, 3.6548
FFI97_RS08420, 1116.3, 5, 0.86, 3.34, 2.72525
FFI97_RS10205, 1023.0, 5, 0.78, 3.65, 2.8895
FFI97_RS14765, 901.0, 5, 0.69, 4.14, 3.13207
FFI97_RS16190, 916.7, 5, 0.70, 4.07, 3.0989
FFI97_RS16285, 1326.3, 5, 1.02, 2.81, 2.40777
FFI97_RS17070, 475.0, 5, 0.36, 7.85, 4.40568
FFI97_RS17720, 978.7, 5, 0.75, 3.81, 2.97366
FFI97_RS19700, 729.3, 5, 0.56, 5.11, 3.54422
FFI97_RS24700, 1289.0, 5, 0.99, 2.89, 2.45968
FFI97_RS25570, 708.7, 5, 0.54, 5.26, 3.60099
FFI97_RS25645, 829.3, 5, 0.64, 4.50, 3.29251
FFI97_RS25900, 1167.0, 5, 0.89, 3.20, 2.64259
FFI97_RS25955, 795.0, 5, 0.61, 4.69, 3.37495
FFI97_RS27215, 895.7, 5, 0.69, 4.16, 3.14351
FFI97_RS29375, 1023.3, 5, 0.78, 3.65, 2.88889
FFI97_RS29445, 584.3, 5, 0.45, 6.38, 3.98585
FFI97_RS30315, 1113.0, 5, 0.85, 3.35, 2.73084
FFI97_RS32570, 890.0, 5, 0.68, 4.19, 3.15575
FFI97_RS33345, 281.3, 5, 0.22, 13.26, 5.48973
FFI97_RS33375, 740.7, 5, 0.57, 5.04, 3.51383
FFI97_RS02440, 824.3, 4, 0.63, 3.62, 2.39588
FFI97_RS06590, 827.0, 4, 0.63, 3.61, 2.39097
FFI97_RS06830, 370.7, 4, 0.28, 8.05, 3.66554
FFI97_RS07760, 540.3, 4, 0.41, 5.52, 3.05544
FFI97_RS10860, 618.3, 4, 0.47, 4.83, 2.84164
FFI97_RS11075, 785.7, 4, 0.60, 3.80, 2.46927
FFI97_RS15095, 720.3, 4, 0.55, 4.14, 2.60306
FFI97_RS15775, 790.0, 4, 0.61, 3.78, 2.46085
FFI97_RS17510, 663.0, 4, 0.51, 4.50, 2.73216
FFI97_RS18535, 724.3, 4, 0.55, 4.12, 2.59448
FFI97_RS20690, 832.3, 4, 0.64, 3.59, 2.38119
FFI97_RS22195, 664.3, 4, 0.51, 4.49, 2.72902
FFI97_RS24085, 719.7, 4, 0.55, 4.15, 2.60449
FFI97_RS30855, 673.0, 4, 0.52, 4.43, 2.70877
FFI97_RS26660, 417.7, 3, 0.32, 5.36, 2.36634
