weight.g	max.long.yr
143000	20
115500	11
376200	15
2365	20
	25
770	15
3850	29
8250	22
16500	25
10230	32
33000	50
16500	27
13750	16
5610	41
7810	21
3850	31
3289	31
12980	26
8250	60
2640	15
770	22
	12
	7
2475	12
2200	29
2000	20
1446.5	17
11000	35
	7
1000	21
10615	50
2200	15
9460	11
671	15
1133	19
6600	11
24000	14
2750	15
	3
	3
	4
	20
	5
2989.8	18
280.5	10
	3
	4
	4
	4
	6
	6
	8
	10
	2
18150	30
5131.5	8
	3
1980	25
1375	25
825	24
3520	30
176000	90
199650	42
	11
	22
233.75	26
825	12
1600	23
	45
	12
7700	15
5005	24
3850	50
1980	14
3850	30
1100	15
	12
13750	26
4400	6
	13
	14
	12
	15
1650	27
	8
	34
550	10
1842	11
10450	50
	10
	10
7590	23
8800	15
	14
	14
247.5	10
296.45	8
305.25	26
	11
28600	15
38500	16
10230	10
3740	3
8745	7
8360	5
12235	11
4240.5	8
33770	9
	9
1498	16
	6
	8
1606	17
25740	13
	38
	40
4397.25	24
17985	50
22000	22
2103.25	18
	3
31350	114
	8
	7
	6
	4
	7
	6
	5
	2
	8
	10
	11
143	14
1155	12
32505	20
1650	12
	20
	14
770	42
	10
495	205
770	100
	20
	20
2442	106
8910	157
2590.5	82
	30
1507	55
555.5	33
	22
995.5	67
572	32
	66
	12
445.5	84
346.5	42
	60
1380.5	64
847	27
	87
	19
	31
7150	55
1804	90
2640	50
	75
3700	43
2084.5	44
918.5	79
1221	116
522.5	37
5296.5	50
2491.5	84
	57
	55
	23
	99
	14
	50
9790	118
797.5	18
1089	53
	38
900	25
	47
550	40
	24
	58
1270.5	115
	45
	16
	21
825	15
3300	15
	7
	7
	18
2442	18
12540	36
1430	20
	36
6875	17
	8.8
	17.5
5362.5	14
1995.5	10
1278	7
	7
37450	21
13732.5	16
	3
	5
	4
	5
	4
	9
	3
	3
	3
	3
	4
30717.5	20
	18
	10
275	31
1375	13
	7
168300	60
	1
	7
12.87	8
1.27E+06	
1925	9
	7
	5.9
825	100
1100	140
1100	100
2750	100
4400	12
	20
	15.8
	29
21.7667	36
	11.5
	15
	10.7
	12.4
	13.3
	11.3
	15.3
19.267	10
	10
	40
	15.4
	5
	10.7
	20
	11.9
	28.7
	
106.25	24.8
	15.1
	12.8
	15.9
	10.3
	14.7
	20.5
	11.5
	
	9.1
	7.5
	
48.1	10.9
1	
	4.9
	
	5.5
	12.8
	22
	7.8
	
	12.5
	8.9
	8.5
7.2	7.8
	
	20
	12.9
	6.6
	8.7
	10.3
4	
	11
	6.3
	5.1
	4.1
	10.5
	14
	18.8
	10.9
	3
	6.8
	11
	5
	10.3
	2
	11
	5.9
	7.7
130	30.3
	45
	11.3
54.4	16
	10
29.0222	9
	6
7.88	5
	6.2
	6
	15
	6.8
	11
	9
	11
	15
	12
	8
	5
	27
	6.7
	12.3
	20
	10.2
	8.8
	10
12.84	32
	17
	11.3
	14.4
	9
	13.8
9.402	25
	16.9
200.967	27
	15.9
	19.9
	55
358.1	29
	11.9
	7.1
	14.2
	12.9
	17
	14.2
	11
	8
	
	
	6.9
	12.2
	17.7
0.6	19.8
14.34	15
	20
	
	9.1
	10.3
	9.9
	8
	18.5
	18.5
	8.9
	19.7
0.5	25
	11
	13.3
4.2	20.1
	19.8
	11.1
	
	15.1
	20.1
	10.6
	34
	
17	102
	26
	17.9
	25
	15
	8
	20
	12.9
	25
	6.5
	10.3
	14
	19.5
	17
19.1	24
12.32	
	
	21.8
	11
	28
	25
	11
	25.7
	25
	13.8
	4.9
	
	7.3
526.64	20.3
1044.2	22
237.5	20.2
135	19.9
9625	39
3000	44.5
3466	40
4800	48
2000	20
3262	56
2745.5	41
1370	26.1
1996.1	40.3
415	8.5
1012	28.8
1362	30.7
980.64	18.8
607	22.4
454	18.3
1500	23.7
1174.5	
505	17
980.64	24.9
837	13.5
2048	
1699.5	17.3
711.5	20.1
392	17.1
388.5	13.5
315.5	16.3
260.5	6
280	6
2447.5	42
5070	40
1600	27.1
5433	19.7
4385	
7436	41.4
6696.5	42
3175	48
4800	16.8
	30
791	10.3
266	11.2
280.5	8.6
585.5	17
1000	24
1080	38
2082	37
994.26	25
758	29
6500	41
352.5	17
2200	55
2200	20.8
2270	25.5
11175	45
3405	40
10500	79
1362	32
570	10.4
452.8	22.5
1900	25.5
721	27.4
793.8	21.3
491.7	
613	22.6
343.8	27.1
411	12.9
420	23.2
950	20
500	12
660	35.2
1048.1	29.1
326	14.7
998.7	26.6
791	28
2681	47
3308.5	31
2645	40.9
3348	25.6
787	18.3
1077.3	22.6
737	20.4
823	23.2
701.5	45.2
928.5	22.1
1208.8	29.5
1163.2	28.8
3200	42
1940.1	18.3
1687	28.2
2150	42
400	18.7
895.86	18.4
957.15	18
365.5	
3980	28.1
2806.65	27.5
2148	12
1715	22.5
872	22.7
5650	
13000	32.5
6350	24.1
9350	26.5
8300	70
828	8.2
737.1	11.2
610	12
561.25	14.6
634.375	15.7
1360.8	21.4
1052.2	16.8
1097.5	9.5
610	10
1445	14.8
1020.6	21.3
1118	8.8
798	16
542	13.6
3869	11.3
907.2	23
1558	18
2130	37.8
1617	18.9
1152	24.8
31	10
37.6	21.1
102.7	26
22.8	15
17	
45	16.1
	6.1
3.9	11.2
3	11.2
3.1	9.1
3.3	4.1
4.4	8.5
3.1	6
3.3	8.8
8.1	11
7.6	12
7.8	8
4.2	14
3.5	8.9
3	
2.6	7
2600	35
2798.5	33.4
1250	31.8
1203.5	19.3
3767.5	70
67.1	11.1
115	14.8
67	11.9
68.5	13.2
54	15
79.3	10
37.5	
35000	26
44000	30
47300	22
38925	16.6
289	10.8
96	8.1
120	15
726	42
222	10
483.8	15.2
427.5	29.9
544.1	28.2
490.5	40.8
184	16.2
223.6	
167	15
992	42.8
964	29
459	17.9
37	19
38.7	13
64	20.8
49	14
100	10
108.5	11.8
52	9.2
88	10.9
214	12.8
118	13
135	21.3
224	25.6
156	18.6
188	17
218.5	24.5
670	16
480	43.3
565	17
110.4	27.1
178	26.2
60	21
281	31.7
306	32.9
221	16
98.1	35.9
119	20.9
644	30
535	20.9
1394	
256	22.1
219	26
1094	49
1117.2	31.9
691	30
430.6	33.7
518.5	31.8
766.2	34.9
908	32
945.5	33
500	24
1210	21.1
1658.5	29.2
	19.2
931.5	33.9
1313.5	14.5
275.6	22
263.3	
133.3	17.9
148	35.8
131.7	25.8
550	23.9
53	15
377	27
317	28.5
315	20.2
112	25.7
158	15.8
120	33
100	34
31	23.9
40	24.1
251	20.9
373	28.6
250	30.8
161	10.2
186	19.1
340	
304	27.8
48	14.5
34	12
136	22.3
141	8.9
50	18.6
52.5	28.8
135	27.3
58.1	19.7
42	
57.3	11.1
65.2	20.8
26.19	9.2
85	
21.1	14.7
26	16
84	
27	19.3
23	12.9
122	9.2
131.6	18.2
37.1	6.8
105	13.3
130	13.2
336	13.7
322	34
294	23.6
50.2	12.3
728	31.8
365.7	24.2
408.6	23.8
33.8	12.9
57	10
136	13.9
197.5	20.9
308.3	15.5
158	8.6
80.65	
62.5	11.6
187	24.4
90	11.5
270	12.6
77.5	7.1
149	26.9
78.8	16
1687	28.8
298	14
1349	23.5
445.5	31.1
1340	34.5
1081	
	18
1398	21.6
4850.5	48.1
3350	39
2061	30.2
4000	20.4
2926	31.3
4100	34
6162.5	30.2
5470	27.4
8000	44.7
	43
5710	31.1
2500	27
	12.4
2166.5	19.1
3180	28.6
51	11.5
519	20.5
358.7	35
291	12.6
490	17.7
50	13.3
35	7.2
56.6	14
147.5	8.6
429	16.3
315	18.5
247	14.4
159	9.8
157.4	17.9
	12
132	13.2
140	25
156	
119	31.3
31.4	21
84.4	3.9
34	5
305	26.8
91.4	5.5
158	8.9
108	13.7
146	9.2
56.6	5.9
34.8	7
75.7	10.4
133	20.3
5.9	12.6
57.8	5
37.5	5
111.5	12.9
376	9
81.9	7.6
210	15
1031	25.8
1348	37.6
593.5	24
966	15.9
195	12.7
390	11.2
342.5	12
858	17.2
152.5	10.9
840	25
169.5	10
261	
1406.5	13.5
117	17
209.5	14.9
184	23.8
152.5	13.2
2500	20
4133	24
2813	23
495.5	8.8
2340	12.5
1564	23
1299	
138	9.6
166	7.4
194	6.4
528	6.2
532	11
1929.5	7
738	19.6
625	13.4
45	5
96.5	14.6
115	6
1058.5	14
417.3	13
453	7
334	8
779.8	30
595.875	9
326	15
535.5	
1079	12.2
6050	13
4200	23.2
492	5.2
1094.8	27
550	15
1239	9.2
2950	18
429	7.2
908	5
794.5	13.5
908	7.5
5050	
2724	28
3405	24.1
1816	24
2400	27
3372	27.2
7500	40
8663	41.8
3890	36.6
5500	43
8500	25.2
5931	36.2
3700	24
6250.5	33
5400	45
450.8	22.3
734.3	20.6
392	18.6
899.3	13.8
111.5	8.9
308	7.5
265	12.4
1555	
7895.5	28.3
13.4	17.6
30	10.1
11.2	7.8
18.3	
10.9	11.2
11.5	9.8
11.8	11.8
12.3	14
15.9	17
24.2	10.6
13.2	10.8
11	8.9
9	7.9
8.6	11.1
5.3	9.1
37.5	10.1
33.5	8
42.9	11.6
26.9	6
30	8.2
54.5	13.5
42.6	28.5
35.2	
15.7	10.8
15.15	9.9
28.4	10.2
14.75	12
15	11
47.325	24
42	25
33	4.8
8.4	
8.2	
9.1	8.2
13.3	9.3
61.7	10.6
50.2	8.1
10.1	8.6
364	16.3
132	25
88.7	15.8
78.7	15
114	15.3
130	25
246	20.3
384.8	20
294	16.7
1041.2	69
	16.8
472.7	19.2
645	21.8
534	21.8
453.5	22.9
520	25
418	14.5
80.8	26.2
99.1	16.1
272	36
78.5	
159.7	17.9
105	14.6
183	16.2
130	17.4
70.3	19.2
84.4	17.9
177	20
159	10
178	21.7
211.5	24.4
277.8	20.3
195	7
19.6	3.9
18.8	5.1
19	
16.5	10
12.5	6.5
	4.1
20	9
15.2	7.1
17.6	9.1
17.1	9.1
13.5	6
22.4	8.2
32.6	4.8
28.35	6
26.65	5
27.1	7.8
19.6	7
48.8	10.6
25.6	6.1
29.7	13.2
19.9	6.8
28.4	11
18.4	12.2
19	11.3
20	6.6
32.1	15.6
16.1	7.8
17.35	7.6
22.7	11.3
20.2	18
35.5	10.3
46	8.6
28.88	7.7
47	12.8
39.4	12.3
44.4	12.8
40.4	11
42	4.8
41.8	9.6
25.7	7.9
16.6	10.8
11	6.2
11.45	6.9
12.2	11.8
12.5	10.3
8.7	11.7
21.1	14.9
31.55	10.5
25.82	13.3
33.1	11.7
12	6
24.8	
12.3	10
12	12
19.5	9.4
16	27
26	13.6
12	
14.2	12.2
15.4	6.1
19.25	6.8
12.7	11
9.23	5.7
13.2	13.5
12.8	13
27.5	7
24	9
21.4	11.6
25.42	14
56.6	12.6
54.9	17
20.7	29
23.2	14.8
16.65	9
28	13
10	9.5
13.35	12
13.4	11
24	8.6
26.6	5.9
35.7	6.6
39.5	16.1
28.9	4
37.85	13
10.4	10
25.5	9.2
26.2	9.2
13.15	
65.3	9.8
24.4	17.5
24.3	24
11.2	
33.3	12
24.5	12
18.3	8.8
22.2	9
14.5	15
18.3	16
20.15	12.2
23.24	11.8
45	13.8
12.7	10
16	5.9
15.7	5.9
19	12.1
14.2	9.1
56.7	20
56.5	13.2
38.4	12.6
35	9
60.8	8.8
64.55	12.5
36.62	8.9
24.3	6
32.9	14
36.9	12.2
36.2	6.4
46.5	11.6
21	17.7
62.9	
38.1	16.9
152.6	13.9
168.7	12.5
111	23.1
94.71	12.6
85	10
75.75	18
28.4	10.1
63.5	12
46	12.5
36	5.7
21.5	15
73.5	13.5
66	16.5
16.1	6.9
13.9	9.8
13.3	5.9
10.4	10.4
34.5	17.9
98.6	10.6
53	20
62.2	9.5
62.7	4.8
80.65	10.8
61.82	5.7
67.65	7.8
84.4	6.9
67	12.8
15	17.8
20.9	4.5
22.4	10.9
18.4	8.8
20.8	5.1
21.2	8.8
23.4	8.8
24.1	13.7
17.2	8
17.7	8.8
29.35	7
17.3	19.3
20.3	7
12.7	9.8
13.9	15
23.8	8.9
19.7	10.9
17.3	11.4
15.9	11.8
15.1	4.9
25	10.1
16.5	10.2
14.6	10.2
16.6	6.9
10.3	8.8
	22
79	14.8
56.3	15.5
121.5	18
13.8	7.1
172	12.1
21	13.3
15.9	9
10.4	6.6
10.3	14.6
11.1	11.6
17.9	15.4
9.2	9.5
10.4	12.4
10.25	10.9
12.5	9
11.5	10.1
10	7
11.1	11.3
11.2	11.9
9.8	9.5
11	10.1
9.8	3
7	10.6
10.2	10
11.5	4.9
8.625	6
10.2	8
12	10
7	10.3
9.7	6.1
9	8.2
15.5	9
7.5	8
10	9.1
10.3	6.6
9	6.9
9.8	11
11.8	10.2
15	8.1
12	
8.85	10.7
9	6
9.5	11.5
12.5	8.1
26	8.9
13.5	9.9
10.9	12.2
9.75	6.6
14	6.9
10	7.9
10.4	9
7.9	7
14.3	8.1
18.8	11
22.5	11.9
16.3	8.9
8.5	10.1
9.2	8.6
8.8	7.9
6.6	5.8
8.5	6.4
8.9	9
7.5	10.2
8.2	6.2
10	8
10.6	8.2
7	8.9
25.3	23
24.2	11.2
16.5	
20.5	13.1
30.2	7
9.5	
8.3	8
9.2	10.2
8.7	11.8
61.9	20
36.2	24
17.5	10
6.5	4.2
6	8
20.2	20.8
27.7	11.1
38.1	8.8
6.75	5.6
5.6	7
5.5	6.3
6.8	5.6
9.3	7
11.2	7.5
20.5	9.8
20.4	12.9
10.8	5.8
10.7	8.2
116.5	13
121	17.8
55.8	16.9
95	25
74	22.9
14.7	12.6
16.7	13.8
24.6	24
17.7	8.9
11.4	9
11.7	8.3
22.5	11.9
12	17
35.2	4
30	15.3
29	11.9
40	7.9
35	9.5
38.9	7.3
9.8	8
17.5	9.2
9.7	9
9.1	7
27.5	11.9
28.8	10.1
27.8	10.8
24.8	7.3
27.9	11
43.3	10.2
78.5	5.6
29.6	9
26.5	8.7
30.5	10.5
74	9.6
61.2	18.8
103.2	21.8
75.5	17
67.8	17.7
106	18.1
75.3	14.6
109	9.1
117.5	21.2
7.4	5.8
32.8	11.1
12.8	8.1
13.9	8.2
20.9	13.6
13.5	9.1
11	6.9
11.9	
10.4	7
10	8
10.95	9
12.6	11
12.6	12.1
23.4	13.6
28.5	11.9
32.1	14.9
35	11
12.87	5.5
18.25	8
19.7	10.3
21.8	
39.9	11.1
40.7	6.9
8.65	12
10	9.1
18	6.1
15	13.1
12	10.9
11.3	13.5
12	16.8
17	10.2
12	9.8
16	7.4
12.4	
11.25	5.1
12.7	13
873.5	22.8
1443	37.5
1937.7	24.4
4468	22.9
1870	24.5
1065.5	25.4
706	8.3
1324.5	11.3
390	23
175	11.6
339.5	13.9
312	22.3
614	22
314	22.8
309.9	17.7
101	6.9
800	21.1
5984	35.7
9550	35.3
6129	54
3115.8	43
9520	51
	12
1238	16
	
940	27.6
615	33.2
	15.3
1202	32.9
1900	25.8
559	20
1036.97	28
1521	17.9
1747.5	28.6
1868	30.1
1228	15
487.5	20.4
431.2	26.8
584	18
	30
1500	
1726	22
	34.5
1530	37
	28.2
1806	33.2
1351.5	39.4
750	17.6
593.2	32.7
1500	41
2277	36.7
2500	44
3065.8	
120	12.5
117	15.9
75.1	12.7
59	8
19.8	9.8
76.8	10.9
321	14
364	13
35	10
81.63	
72.5	20.7
75	10
79.7	17.2
65	11
56	16.1
37.4	7.8
25.6	11.9
30.3	
65.7	11.2
62	15.9
137	
176	15.2
48.5	4.9
55	4.8
45	7.8
540	16.2
1475.5	14
485	
738.7	19.2
1100	11
392	13.1
430	
174	17.5
9000	58
7046.7	50
4411	
3150	62
3395	40
2800	42.1
3890	37
3753	47.2
3232	43.7
25.2	33.8
42	36
45.2	18
36.9	31
44.6	36
87	
99	22.9
535	24.8
408.6	25
908	51
795	45
3697.5	13.5
268	46
702.5	17
259	11.3
168.6	30.8
147.5	20
425	
434	13.1
690	30.2
740	34
130	
497	
356	
337.8	29
434	50.9
499.4	39.9
48.3	12.6
37.3	19.2
43	18
54.8	
57.5	14.6
232.5	26.6
451	49
215	25.3
370	30
	49
416	27
270	
626	
430	24.5
302	25.8
646	28
235.5	
430	56
517	
	44
676	
316	
	
	
1330	38.8
940	38.3
136	24.4
1300	29
1030	43
1220	50.1
784	22
1040	33
1134	46
470	23
343	28.5
171	31
130	20.9
85	16.2
146	
151	26.2
138	21.8
150	17.9
43.1	9.2
61.6	19
64	11.3
59	13.2
63	11
71.6	10.3
570	26.9
394	30.5
800	57
275	26
288	17.3
390	80
830	65.8
492	31.9
637	26.3
350	46.9
340	49.7
567	43
256	27.5
723.7	45.4
620	47
678.5	41
437	
260	17.5
190	19.7
83	11.3
100	30
193.5	34.1
525	53.9
278	19.5
200	27
46	9.3
92.6	12.4
246	21.8
151	22.9
440	28.5
193	15.3
300	40
156	24.7
167	18.1
	15.2
	16.6
	16.5
130	19.7
26.2	10.4
33.5	10.5
24	11.6
	10.5
70.8	11.5
44	12
159	13.2
250	23.2
28	14.3
34.9	10.1
35.7	10.1
182	26
143	26.6
177	18.5
30	21
81.7	22.1
128	18.7
46.1	21
41.4	21
38.6	14
45	12.6
429	
867.5	47
86.2	15.3
90	35
83.6	
155	26
149	22.6
119	16.8
293	16.2
251	20.6
124.5	26.8
104	27.4
63.3	13.2
89.5	19.1
140	32.1
275	21
117.5	34.2
344	29.7
116	34.3
120	33.4
155	40
104	23.9
170	13.8
153	15.1
256	31
841	56.3
	11.8
	20.1
232	
55	18
61.4	12.2
61.5	11.8
149	13.4
30	8.5
147	23.3
	14
	
66	18.8
255	30
128	34
117	14.9
	12
118	12
333	49.7
51	
	24.1
	10.2
865	25
116	15.3
	18.5
87	14.3
360	33
1750	60
325	23
270.5	14.4
73.7	16
115.1	16.1
55.2	17.8
	19.4
90	11.9
	13.6
29	18.4
23000	
29500	
13036.8	26
1105	16
5950	
3135	27.3
4379	
4000	30
117.9	17.5
120	15.9
406	21.8
249.7	27.8
150	11
169	11.1
2686	68
2042.5	28
1191.2	29
65.5	6
164.1	20.7
205	19
41	14
55.5	8.1
92	6.8
770	25
520	22.4
1120	15.9
588.7	25
784.5	23.8
715	24
320	16.2
580	34
111000	50
1080	16.4
1486.6	16
1550	25.6
806	27.6
1078	34
1400	43
1773	30.6
1817	22.5
1550	12.6
3628.8	27.2
2041.2	17.8
2426	18
2950	37.4
2350	33
1739.2	25.5
1754	21
1134	27.2
1530	18
1017	23
1390.5	15
113.3	4
275	9
	8
	8
	8
	6
	8
	8
82.5	10
	7
	5
	7
	7
	4
	6
1375	9
10395	19
18535	25
167530	34.5
49335	19
	16.4
190300	23
47025	24
	8
174075	32
67540	12
92070	22
190575	35
65000	32
	24
42185	31.7
15400	8
28600	12
444070	50
101035	20
113245	20
2750	8
	7
3987.5	10.2
	6
10065	25
726	12
	19
83820	35
5940	6.5
7095	11.5
24585	55
	15
16940	16
	9
6710	16
	9
	13
	19.5
3146	10
	24
10110	30
2887.5	12
	6
1375	29.4
	12
	12
58850	49
	29
200090	21
2.20E+06	32
1.87E+06	50
278190	25
96250	20
126500	30
87340	12
74580	18
	10
	28
	21
	24
1.65E+06	20
7645	16
45155	24
	15.5
	16
	14
	14
	12
60280	25
	25
1.87E+07	54
325050	30
	17
10010	17
	17
2337.5	16
53405	50
	22.5
	24
	9
	18
	26
	8
	14
	21
	14
	6.3
50050	26
7865	8
9900	12
2475	9
	8.2
	
	26
	9
	13
	28
5362.5	16
	20
	25
	70
	35
	18.4
	57
467.5	7
	57
5005	75
	15
	75
	27
	12
	35
	21
	16
1650	20
	10
180	19
6.7	
180	2.7
37.8	5.6
50	5.8
225	14.1
900	8.7
46100	15.5
92500	28
52500	25.6
159000	22.5
30500	
92500	21.7
39000	19.8
37500	23.9
159000	
630000	33.5
610000	26.4
825000	26.2
667000	26.3
700000	27.1
800000	
750000	20
180000	21.7
725000	34.9
155000	36.1
240000	
150000	29.2
180000	21.9
70000	19.3
50000	20.2
41000	19.1
61000	20.8
82500	20.9
46250	22.4
57500	
130000	22.3
80000	24
95000	18.5
11600	17.5
70000.3	21
10000	15.2
18100	14.8
13900	17.9
13000	15.2
62000	22.5
	15.2
17500.1	
132250	21.8
164500	24.3
110000	23.6
84500	23
15011	14.5
25000	20
18916.7	
17500	17.9
14500	23.7
23250	18.3
48500	14.6
20000	
48500	16.3
75000	17.3
23000	
35200	21.8
225000	25.9
225000	22.2
175333	30
105000	21.9
94800	25.4
90000	21.1
43500	17.3
4550	17.5
5000	17.3
28863	19
27000	20.3
31750	17.6
73000	19.3
67000	19.7
48500	15.5
6500	13.5
2250	11.1
90000	20.8
12000	25.9
177500	27.5
170000	23.8
121350	20.8
17000	15.9
315000	27.4
160000	16.8
80000	22.8
70275	20.6
73100	19.6
25000	
7000	18.3
6250	15.9
30000	12
55000	20.9
13000	9.3
10249.9	
58000	16.8
30000	15
45500	
30000	
37500	17.6
37500	
18500	15.4
700000	29.8
680000	20.3
500000	26.1
19000	17.4
120000	18.5
307500	21.9
82500	19.8
60000	15.3
87500	22.6
217500	23.5
475000	35.4
434000	28.4
140000	28.9
127500	33.7
62000	25.8
50000	31.6
386000	
36000	20.8
40500	17.2
55000	17.8
43000	22.9
102500	
21666.7	17.5
39450	
200000	31.5
42000	26.3
70000	21.1
33500	22.7
186500	27.5
45000	
70000	
11500	13.9
33000	17.1
17000	14.8
18590	
22000	
21000	18.8
18000	23.2
57000	22
87000	23
32500	21.9
135000	21.3
10000	18.3
101250	21.8
170000	24.5
122500	20.5
	18.5
50000	
63000	21.1
185000	26.4
800000	39.5
225000	33.5
215000	42.3
3.75E+06	61.2
12000	
11000	
10000	
71500	22.9
202500	
100000	20.9
87500	
88000	22
102750	16.2
8000	14
130000	27
76000	17
34750	
20200	31.5
22000	28.5
11000	
2450	14.5
2850	14
6500	16.7
4325	19
9500	11.9
10250	13.7
11000	18.8
40000	24
13250	21.8
26625	20.6
10250	16.7
6500	12.7
21500	16.8
15750	16.1
13000	13.1
3990	10.9
8500	13.7
4000	9.9
5350	12.6
26500	17
6500	16.6
4150	17
6000	14.1
4750	16.2
1890.7	
2375	
1000	
4000	
2700	13
5200	16.3
2500	15.8
2800	16
3200	14.3
2400	15.9
4131.7	21.3
1250	16.3
9500	23.1
1540	21.4
800	26
700	
53500	20.5
16000	20.3
13500	23
3900	30
10000	20
3500	15.9
2750	13.9
2125	15.6
5500	19
2950	19.6
4000	23
2230	
8800	28.2
2250	21.9
3666.7	24
13350	22.4
10100	26.8
23000	23.7
11000	
8600	32.3
19500	19.8
175000	27
81150	28
53750	27.3
119700	26.3
3500	
5000	17
6750	14
1350	17.9
10650	17.2
10650	21
63000	23.8
7000	18.6
50000	21.2
3300	20.8
2000	15.8
790	13.3
598.5	15.2
650	11.7
500	12.6
274.8	18
1414.1	
1000	12.3
2200	
800	16.6
3000	
1702.5	17.8
1863.2	13.3
2250	12.8
3500	14.8
1331.5	17.4
776	20.6
63000	41.1
42250	31.9
40000	25
10000	20
3400	10
1900	10.2
965	
3500	13.9
600	10.5
23500	14.2
3000	23
10500	15.8
4500	22.3
25850	27
1000	10.2
2300	12.5
16333.3	19.5
4000	22.9
425	
910	14
9000	27
7500	
6750	18.2
9000	
884	17.8
2500	16
1700	18.2
1300	18.2
1000	
3175	14.3
1066.7	18.4
13000	18.6
10000	31.3
672	19
2000	
110.3	12.5
1350	9.1
150.6	8.8
590	8.4
1021	9.4
46.9	9.1
809	11.1
565	8.8
925	11.4
280	
24000	17.3
8000	25
542.5	8.8
1900	21
1.01E+06	
110000	30.6
55000	
45500	
84500	
127551	32.1
50000	
165500	
415000	32.8
190000	24.1
207500	29
187580	
180000	35.7
405000	
373000	
268000	42.9
90000	
367750	
425000	
250000	
1.60E+06	
1.40E+06	
275000	
222500	
177000	
180000	
85000	
115000	47.6
86000	
90000	46
90000	56
1235	25.2
1235	21.8
1015	19
900	24
3750	26.4
4750	23.7
3000	38.4
6270	19
6000	21
117500	36.8
46000	35.9
100000	33.3
109250	39
154250	34
277500	40
475000	43.8
103750	39.2
12250	27
2250	16.1
3250	
13666.7	28
4000	
1650	
1866.7	22.7
2225	20
2000	
1055	
1820	21.3
2400	16
4300	27.4
3100	24.5
700	
12061	15.4
7350	15
10000	21.7
3000	
1.00E+08	211
4.50E+07	70
2.30E+07	67
7.50E+06	50
2.00E+07	74
1.60E+07	72
1.36E+08	110
