strain	rep	hist	active	dead	dormant
KBS0711W	B	der	0.000705965	0.368866926	0.630427109
KBS0711W	C	der	0	0.357986111	0.642013889
KBS0711W	D	der	0	0.379651623	0.620348377
KBS0712	A	der	0.008460237	0.608009024	0.383530739
KBS0712	B	der	0.00384481	0.531981825	0.464173366
KBS0712	C	der	0.017901235	0.362345679	0.619753086
KBS0712	D	der	0.006998445	0.209175739	0.783825816
KBS0713	A	der	0.005231689	0.052316891	0.94245142
KBS0713	B	der	0.001555512	0.069414738	0.929029749
KBS0713	C	der	0.00338524	0.028943805	0.967670955
KBS0713	D	der	0.001871408	0.018045716	0.980082877
KBS0715	A	der	0.000593428	0.25265188	0.746754692
KBS0715	B	der	0.000289855	0.270289855	0.72942029
KBS0715	C	der	0.000346789	0.09945901	0.900194202
KBS0715	D	der	0.000132767	0.418414764	0.581452469
KBS0721	A	der	0	0.04517134	0.95482866
KBS0721	B	der	0.000352051	0.02041894	0.979229009
KBS0721	C	der	0.000255951	0.052469926	0.947274123
KBS0721	D	der	0	0.025937454	0.974062546
KBS0722	A	der	0.032258065	0.407258065	0.560483871
KBS0722	B	der	0.017766497	0.299492386	0.682741117
KBS0722	C	der	0.017766497	0.299492386	0.682741117
KBS0722	D	der	0.045627376	0.292775665	0.661596958
KBS0724	A	der	0	0.182325581	0.817674419
KBS0724	B	der	0.000719166	0.167206041	0.832074793
KBS0724	C	der	0.000521648	0.09181012	0.907668232
KBS0724	D	der	0.000541126	0.131493506	0.867965368
KBS0727	B	der	0.001113409	0.399395578	0.599491013
KBS0727	C	der	0.000431593	0.508416055	0.491152352
KBS0727	D	der	0.00064697	0.387750701	0.611602329
KBS0801	A	der	0	0.272857827	0.727142173
KBS0801	B	der	0	0.175976634	0.824023366
KBS0801	C	der	0.00065445	0.113219895	0.886125654
KBS0801	D	der	0.002795248	0.08490566	0.912299092
KBS0802	A	der	0.001165954	0.018784817	0.980049229
KBS0802	B	der	0.000716239	0.010678474	0.988605287
KBS0802	C	der	0.000420557	0.014551266	0.985028177
KBS0802	D	der	0.000430775	0.020504868	0.979064358
KBS0812	A	der	0.013333333	0.434666667	0.552
KBS0812	B	der	0.016415869	0.604651163	0.378932969
KBS0812	C	der	0.021909233	0.61971831	0.358372457
KBS0812	D	der	0.011235955	0.483146067	0.505617978
ATCC13985	A	der	0.002648617	0.03090053	0.966450853
ATCC13985	B	der	0.001971091	0.035151117	0.962877792
ATCC13985	C	der	0.001925958	0.031671303	0.966402739
ATCC13985	D	der	0.003832466	0.031480975	0.964686559
ATCC43928	A	der	0.000718735	0.051748922	0.947532343
ATCC43928	B	der	0.000113546	0.023504031	0.976382423
ATCC43928	C	der	0.005496771	0.028583207	0.965920022
ATCC43928	D	der	0.01733178	0.045659773	0.937008447
KBS0725	A	anc			
KBS0725	B	anc			
KBS0725	C	anc			
KBS0725	D	anc			
KBS0725	A	der			
KBS0725	B	der			
KBS0725	C	der			
KBS0725	D	der			
