Gene,mult,mult_syn,mean_freq,mean_freq_syn
FFF93_RS09605, 0.420425, 0.431311, 0.060316, 0.077782
FFF93_RS09625, 0.873269, 0.789562, 0.102585, 0.071283
FFF93_RS09865, 0.958260, 1.016782, 0.076289, 0.051164
FFF93_RS10050, 0.345361, 0.785953, 0.062797, 0.098757
FFF93_RS10160, 0.896551, 1.807877, 0.064113, 0.085674
FFF93_RS10205, 0.824516, 0.800177, 0.054642, 0.054076
FFF93_RS10265, 0.911886, 0.927783, 0.061305, 0.068796
FFF93_RS10410, 1.230046, 0.692723, 0.051044, 0.073342
FFF93_RS10440, 0.509390, 1.107761, 0.059195, 0.076556
FFF93_RS10445, 0.564075, 0.603566, 0.069620, 0.066847
FFF93_RS10460, 0.872571, 1.658674, 0.072514, 0.074951
FFF93_RS10545, 0.623977, 0.289911, 0.077183, 0.072936
FFF93_RS10780, 0.548092, 1.139575, 0.050210, 0.082287
FFF93_RS10815, 1.116339, 1.049181, 0.098588, 0.082216
FFF93_RS11005, 1.016647, 1.047052, 0.063819, 0.069915
FFF93_RS11030, 0.757115, 0.721129, 0.062452, 0.054721
FFF93_RS11035, 2.299623, 1.105387, 0.060537, 0.086550
FFF93_RS11050, 4.120247, 2.198214, 0.076904, 0.059109
FFF93_RS11085, 0.508383, 0.271594, 0.105529, 0.066528
FFF93_RS11100, 1.619105, 1.508326, 0.096591, 0.055727
FFF93_RS11120, 0.725453, 0.681137, 0.069530, 0.054510
FFF93_RS11265, 0.864633, 2.385728, 0.097259, 0.059858
FFF93_RS11290, 1.696290, 1.454002, 0.085334, 0.075164
FFF93_RS11320, 1.236307, 0.215056, 0.112013, 0.079651
FFF93_RS11340, 0.598902, 0.212575, 0.071386, 0.058728
FFF93_RS11555, 0.615542, 0.612161, 0.122521, 0.051079
FFF93_RS11675, 0.752165, 0.715792, 0.054502, 0.093722
FFF93_RS11680, 0.875718, 0.898689, 0.077621, 0.072886
FFF93_RS11860, 0.983704, 0.894533, 0.061407, 0.124326
FFF93_RS11915, 4.410394, 2.614092, 0.194085, 0.184266
FFF93_RS12155, 0.584592, 0.663612, 0.064625, 0.053854
FFF93_RS12225, 0.782316, 0.899734, 0.050549, 0.050455
FFF93_RS12440, 0.938712, 0.476167, 0.091707, 0.071191
FFF93_RS12555, 1.277493, 0.414003, 0.059861, 0.068262
FFF93_RS12565, 0.665994, 0.583538, 0.112788, 0.054422
FFF93_RS12670, 4.319746, 17.388117, 0.111163, 0.070571
FFF93_RS12685, 1.279737, 1.260214, 0.059103, 0.094648
FFF93_RS12695, 1.307291, 0.630107, 0.065482, 0.050296
FFF93_RS12805, 7.096725, 1.389176, 0.978730, 1.000000
FFF93_RS12950, 0.532082, 0.559892, 0.059591, 0.053785
FFF93_RS13330, 0.789094, 0.733432, 0.053006, 0.065151
FFF93_RS13500, 0.692144, 0.671094, 0.072898, 0.166581
FFF93_RS13525, 0.677555, 0.731353, 0.108290, 0.116823
FFF93_RS13560, 0.797152, 0.732738, 0.096096, 0.063953
FFF93_RS13705, 0.834909, 0.760090, 0.076138, 0.063779
FFF93_RS13725, 0.628643, 0.586190, 0.062355, 0.060778
FFF93_RS13820, 0.460749, 0.910319, 0.060170, 0.091314
FFF93_RS13865, 1.544729, 1.569516, 0.069895, 0.068130
FFF93_RS14045, 1.319922, 0.614104, 0.051041, 0.057170
FFF93_RS14220, 0.475069, 0.518613, 0.064675, 0.050008
FFF93_RS14495, 1.481892, 1.320429, 0.075001, 0.073238
FFF93_RS14505, 1.492517, 0.695837, 0.072808, 0.086246
FFF93_RS14615, 1.296436, 1.183136, 0.063420, 0.090963
FFF93_RS14660, 0.492961, 0.501797, 0.072581, 0.081813
FFF93_RS14805, 1.161419, 1.248018, 0.080155, 0.063566
FFF93_RS14845, 0.736205, 1.520179, 0.081176, 0.072632
FFF93_RS14850, 1.572512, 0.780798, 0.062009, 0.075885
FFF93_RS15070, 0.848192, 0.837415, 0.070766, 0.065145
FFF93_RS15110, 0.861905, 0.963600, 0.066917, 0.057022
FFF93_RS15275, 0.941340, 0.914623, 0.083392, 0.052233
FFF93_RS15335, 1.150416, 2.236333, 0.065147, 0.095260
FFF93_RS15510, 0.870024, 0.296919, 0.061153, 0.062012
FFF93_RS15595, 0.955955, 0.935071, 0.056003, 0.087090
FFF93_RS15600, 0.662562, 0.696464, 0.072355, 0.080043
FFF93_RS15615, 1.022832, 0.251224, 0.069820, 0.101307
FFF93_RS15710, 0.670900, 0.614104, 0.074829, 0.072927
FFF93_RS15760, 2.985238, 1.209017, 0.129894, 0.064198
FFF93_RS15800, 1.681378, 0.885322, 0.067571, 0.054839
FFF93_RS15825, 2.646236, 2.753634, 0.054027, 0.099307
FFF93_RS15840, 1.108976, 1.035838, 0.108548, 0.069366
FFF93_RS15900, 0.464370, 0.872838, 0.090306, 0.057809
FFF93_RS15925, 0.847206, 0.402377, 0.068424, 0.101968
FFF93_RS15960, 0.737695, 0.711841, 0.079607, 0.067832
FFF93_RS16180, 0.977108, 0.900781, 0.056943, 0.063291
FFF93_RS16190, 0.656197, 0.651871, 0.064289, 0.052619
FFF93_RS16235, 1.650900, 0.805173, 0.079389, 0.074761
FFF93_RS16770, 1.465990, 1.315937, 0.051982, 0.056634
