Gene,mult,mult_syn,mean_freq,mean_freq_syn
FFI97_RS16670, 1.627353, 0.971080, 0.099644, 0.065543
FFI97_RS16675, 4.094183, 5.233504, 0.115524, 0.119847
FFI97_RS16885, 2.229236, 2.914167, 0.072017, 0.068980
FFI97_RS16895, 20.820029, 23.096698, 0.153817, 0.146733
FFI97_RS17070, 7.853169, 8.246306, 0.106011, 0.089014
FFI97_RS17075, 10.410015, 5.726601, 0.136266, 0.185029
FFI97_RS17185, 2.795944, 5.206712, 0.326768, 0.341060
FFI97_RS17190, 0.578933, 1.024558, 0.149783, 0.174910
FFI97_RS17430, 3.191662, 5.144010, 0.204504, 0.188834
FFI97_RS17510, 4.501062, 3.911709, 0.110610, 0.114605
FFI97_RS17520, 1.713091, 3.270239, 0.146507, 0.123222
FFI97_RS17565, 7.931822, 7.972082, 0.104107, 0.087114
FFI97_RS17600, 2.206164, 8.220122, 0.110786, 0.111031
FFI97_RS17660, 0.541663, 1.186288, 0.055493, 0.051769
FFI97_RS17675, 8.893324, 9.281655, 0.125830, 0.094214
FFI97_RS17685, 15.169245, 18.862099, 0.216217, 0.246000
FFI97_RS17720, 3.811569, 4.163664, 0.189990, 0.201830
FFI97_RS17755, 1.266282, 1.409951, 0.128087, 0.108601
FFI97_RS17825, 9.174971, 10.130715, 0.160494, 0.144381
FFI97_RS17965, 2.116457, 1.046342, 0.245678, 0.219724
FFI97_RS18040, 6.332404, 4.558466, 0.289572, 0.190635
FFI97_RS18140, 20.982686, 6.810565, 0.160267, 0.159258
FFI97_RS18155, 20.533515, 36.943919, 0.242339, 0.242781
FFI97_RS18160, 24.327751, 10.036622, 0.240400, 0.144398
FFI97_RS18165, 31.305760, 41.500722, 0.253465, 0.260053
FFI97_RS18195, 5.205007, 8.938866, 0.224832, 0.175132
FFI97_RS18445, 1.095523, 5.805048, 0.157578, 0.178553
FFI97_RS18515, 8.492475, 1.571129, 0.092788, 0.087769
FFI97_RS18525, 2.436306, 3.747298, 0.115366, 0.124579
FFI97_RS18535, 4.119932, 5.683929, 0.103241, 0.137182
FFI97_RS18575, 10.314070, 17.480450, 0.086345, 0.084924
FFI97_RS18750, 7.950810, 7.352128, 0.084723, 0.125615
FFI97_RS18820, 4.236252, 2.612271, 0.151543, 0.167879
FFI97_RS18900, 12.103158, 5.920698, 0.119087, 0.112932
FFI97_RS19210, 13.731001, 13.694493, 0.171695, 0.188344
FFI97_RS19240, 11.126234, 4.052568, 0.263365, 0.244878
FFI97_RS19665, 12.224778, 2.121789, 0.078848, 0.084802
FFI97_RS19690, 10.657872, 3.075739, 0.161855, 0.166113
FFI97_RS19700, 5.114610, 3.947132, 0.119599, 0.126684
FFI97_RS19705, 1.229079, 2.398690, 0.072923, 0.076561
FFI97_RS20100, 5.532158, 0.927960, 0.086506, 0.102295
FFI97_RS20190, 8.686235, 3.881849, 0.168522, 0.155179
FFI97_RS20235, 9.070529, 4.421932, 0.085866, 0.078207
FFI97_RS20275, 35.114272, 17.890439, 0.117240, 0.103291
FFI97_RS20330, 4.520000, 4.713388, 0.126139, 0.226157
FFI97_RS20405, 0.971421, 0.406493, 0.156363, 0.241653
FFI97_RS20530, 9.959995, 6.921808, 0.108229, 0.098736
FFI97_RS20575, 9.269847, 1.078901, 0.070948, 0.068981
FFI97_RS20635, 10.106284, 7.188533, 0.220006, 0.453218
FFI97_RS20690, 3.585347, 3.962510, 0.081646, 0.084679
FFI97_RS20700, 8.939841, 2.931527, 0.067076, 0.080226
FFI97_RS20930, 7.070558, 3.256974, 0.252841, 0.190868
FFI97_RS21030, 15.493823, 8.143594, 0.097895, 0.129660
FFI97_RS21115, 21.059025, 4.762435, 0.152217, 0.154582
FFI97_RS21140, 20.431980, 11.189975, 0.191726, 0.219138
FFI97_RS21180, 8.252777, 3.435961, 0.061521, 0.057807
FFI97_RS21320, 17.052595, 9.574685, 0.276622, 0.199666
FFI97_RS21420, 8.830346, 9.009251, 0.124829, 0.163926
FFI97_RS21430, 3.283354, 4.145561, 0.061218, 0.066759
FFI97_RS21530, 2.596265, 1.237997, 0.200216, 0.207523
FFI97_RS21565, 5.071639, 5.886971, 0.098833, 0.119172
FFI97_RS21575, 9.838036, 12.504644, 0.263024, 0.339766
FFI97_RS21655, 16.974076, 9.142950, 0.159275, 0.149645
FFI97_RS21660, 7.003347, 3.945431, 0.126923, 0.137796
FFI97_RS21685, 2.063289, 2.924782, 0.084214, 0.096354
FFI97_RS22005, 6.883095, 11.180862, 0.160904, 0.170844
FFI97_RS22090, 6.236581, 0.807178, 0.100130, 0.121153
FFI97_RS22195, 4.492028, 1.218504, 0.072586, 0.094190
FFI97_RS22565, 15.225532, 12.107671, 0.163970, 0.094343
FFI97_RS23385, 11.296672, 14.984517, 0.160428, 0.174104
FFI97_RS23395, 12.908876, 12.158458, 0.198374, 0.178897
FFI97_RS23515, 3.881190, 1.278765, 0.078888, 0.079481
FFI97_RS23690, 7.668660, 3.345541, 0.296619, 0.299208
FFI97_RS23700, 6.972440, 28.706897, 0.070908, 0.062790
FFI97_RS23705, 8.473268, 6.181388, 0.164802, 0.164539
FFI97_RS23740, 19.835921, 23.809420, 0.105381, 0.096120
FFI97_RS23890, 1.467401, 5.028490, 0.139608, 0.133607
FFI97_RS24045, 16.965853, 13.304359, 0.145735, 0.141792
FFI97_RS24085, 4.146648, 4.755507, 0.059070, 0.065967
FFI97_RS24355, 3.359329, 0.953479, 0.076313, 0.090477
FFI97_RS24535, 11.943186, 3.126161, 0.252973, 0.155777
FFI97_RS24550, 10.077448, 3.924287, 0.147764, 0.126994
FFI97_RS24565, 2.774406, 5.096547, 0.130931, 0.194914
FFI97_RS24635, 5.987035, 6.535475, 0.096432, 0.100368
FFI97_RS24640, 2.916794, 4.972512, 0.067317, 0.072742
FFI97_RS24660, 5.305252, 6.834976, 0.151435, 0.145971
FFI97_RS24670, 21.677028, 6.006167, 0.153119, 0.154344
FFI97_RS24700, 2.893914, 2.381837, 0.414751, 0.377243
FFI97_RS24705, 3.050640, 3.010987, 0.054873, 0.058969
FFI97_RS24970, 12.008870, 7.142165, 0.132105, 0.138291
FFI97_RS25450, 0.364738, 1.332690, 0.204235, 0.144852
FFI97_RS25570, 5.263766, 2.151716, 0.069364, 0.087184
FFI97_RS25615, 6.193579, 5.403423, 0.192275, 0.195373
FFI97_RS25645, 4.497896, 2.606321, 0.093936, 0.115490
FFI97_RS25745, 5.774815, 4.578531, 0.121112, 0.169288
FFI97_RS25810, 2.713461, 2.229057, 0.234043, 0.266547
FFI97_RS25825, 15.102248, 25.547765, 0.171103, 0.215673
FFI97_RS25860, 5.783341, 1.948361, 0.102057, 0.078495
FFI97_RS25900, 3.196448, 1.324277, 0.100430, 0.097581
FFI97_RS25950, 6.664003, 5.860051, 0.283562, 0.303639
FFI97_RS25955, 4.692145, 2.794078, 0.074833, 0.076209
FFI97_RS26095, 7.217521, 3.351420, 0.068926, 0.065493
FFI97_RS26170, 14.123810, 10.036622, 0.112337, 0.117004
FFI97_RS26245, 0.989458, 1.829216, 0.058662, 0.058744
FFI97_RS26250, 3.993137, 2.561825, 0.145063, 0.145620
FFI97_RS26260, 4.522827, 8.261191, 0.125449, 0.149683
FFI97_RS26265, 10.975822, 5.038199, 0.137285, 0.148909
FFI97_RS26270, 6.024638, 8.090126, 0.223665, 0.254772
FFI97_RS26400, 2.120467, 3.241289, 0.252357, 0.247856
FFI97_RS26570, 1.917048, 0.617139, 0.367429, 0.339201
FFI97_RS26660, 5.358707, 7.247347, 0.265468, 0.231456
FFI97_RS26845, 9.297464, 5.200795, 0.096509, 0.114445
FFI97_RS27215, 4.164781, 6.088350, 0.248279, 0.229169
FFI97_RS27350, 2.636223, 6.018014, 0.147825, 0.164754
FFI97_RS27400, 24.695069, 8.114716, 0.077906, 0.084553
FFI97_RS27495, 11.022191, 6.810565, 0.135956, 0.135001
FFI97_RS27755, 2.165605, 3.165076, 0.280351, 0.114573
FFI97_RS27930, 9.406828, 5.872583, 0.135412, 0.110211
FFI97_RS28115, 0.141333, 0.145016, 0.124341, 0.092704
FFI97_RS28165, 9.107677, 15.427077, 0.179966, 0.203453
FFI97_RS28170, 8.336209, 15.671869, 0.148737, 0.174030
FFI97_RS28510, 0.840779, 1.335093, 0.051522, 0.059472
FFI97_RS28610, 13.265937, 5.321744, 0.179258, 0.187117
FFI97_RS28685, 4.873700, 2.829615, 0.168501, 0.155894
FFI97_RS28825, 1.349911, 1.269190, 0.291201, 0.290429
FFI97_RS29000, 3.386011, 1.510462, 0.064540, 0.060437
FFI97_RS29095, 3.172435, 2.962265, 0.304452, 0.377394
FFI97_RS29140, 2.726795, 7.651375, 0.202880, 0.182197
FFI97_RS29375, 3.645201, 4.990171, 0.293031, 0.278351
FFI97_RS29445, 6.383780, 1.299460, 0.057629, 0.054220
FFI97_RS29460, 9.061349, 3.564408, 0.059833, 0.061182
FFI97_RS29620, 2.610396, 6.025144, 0.102468, 0.143623
FFI97_RS29630, 2.571112, 2.188133, 0.092006, 0.095973
FFI97_RS29695, 9.045327, 12.545777, 0.266943, 0.239745
FFI97_RS29745, 11.327641, 1.981255, 0.153399, 0.148128
FFI97_RS29775, 4.905157, 3.225299, 0.204440, 0.228983
FFI97_RS29915, 4.477799, 2.529362, 0.170791, 0.166509
FFI97_RS30010, 8.605523, 1.332373, 0.183045, 0.213154
FFI97_RS30055, 16.101821, 13.227455, 0.427924, 0.437053
FFI97_RS30195, 0.727618, 0.699160, 0.060965, 0.069785
FFI97_RS30200, 2.003718, 2.555388, 0.189174, 0.229769
FFI97_RS30240, 12.488145, 8.366910, 0.184278, 0.166355
FFI97_RS30315, 3.351532, 4.746207, 0.157845, 0.154189
FFI97_RS30420, 9.722646, 6.985195, 0.177617, 0.155380
FFI97_RS30440, 12.514688, 9.455991, 0.110733, 0.116451
FFI97_RS30475, 6.753630, 0.628840, 0.092211, 0.079272
FFI97_RS30530, 1.044402, 0.981072, 0.051525, 0.059567
FFI97_RS30550, 1.646306, 1.616066, 0.240513, 0.232333
FFI97_RS30615, 9.915032, 6.581391, 0.212258, 0.186306
FFI97_RS30855, 4.434182, 7.446977, 0.077350, 0.097627
FFI97_RS31070, 1.462845, 6.726484, 0.066264, 0.254527
FFI97_RS31090, 11.094294, 10.455313, 0.147958, 0.166950
FFI97_RS31095, 3.392855, 7.984472, 0.309458, 0.306350
FFI97_RS31255, 3.695355, 1.433803, 0.071834, 0.057548
FFI97_RS31275, 1.217711, 1.288485, 0.162965, 0.174773
FFI97_RS31350, 7.729616, 0.796225, 0.144369, 0.135471
FFI97_RS31505, 4.109719, 5.833049, 0.126785, 0.125157
FFI97_RS31560, 2.699823, 5.867564, 0.057737, 0.067271
FFI97_RS31565, 78.685071, 49.531381, 0.144320, 0.149612
FFI97_RS31620, 21.969601, 8.086042, 0.064174, 0.060952
FFI97_RS31815, 10.436984, 12.339141, 0.127869, 0.127385
FFI97_RS31825, 27.470027, 15.435749, 0.120334, 0.113343
FFI97_RS31855, 11.357580, 8.359269, 0.280259, 0.227768
FFI97_RS31885, 4.254145, 0.916807, 0.081314, 0.076975
FFI97_RS31990, 4.059528, 9.519916, 0.259341, 0.305930
FFI97_RS31995, 13.544043, 10.569745, 0.104512, 0.096683
FFI97_RS32065, 4.757690, 2.919745, 0.122914, 0.128849
FFI97_RS32235, 1.670264, 0.563772, 0.128674, 0.138174
FFI97_RS32340, 2.578517, 0.803776, 0.101983, 0.091042
FFI97_RS32570, 4.191298, 2.783881, 0.143596, 0.148764
FFI97_RS32610, 8.909845, 17.914564, 0.330303, 0.235143
FFI97_RS32710, 9.792600, 3.967663, 0.077547, 0.080283
FFI97_RS32775, 1.802056, 3.009007, 0.132083, 0.131245
FFI97_RS32790, 19.538932, 19.158277, 0.272681, 0.289684
FFI97_RS32840, 18.616370, 16.884525, 0.300725, 0.250370
FFI97_RS32870, 2.704390, 1.586928, 0.121430, 0.124877
FFI97_RS33040, 7.456960, 4.467847, 0.172721, 0.181189
FFI97_RS33090, 10.330732, 4.903607, 0.161835, 0.217180
FFI97_RS33095, 1.354814, 2.651183, 0.142812, 0.145261
FFI97_RS33160, 8.481065, 5.309396, 0.244380, 0.264734
FFI97_RS33335, 9.248567, 6.269452, 0.250767, 0.239746
FFI97_RS33345, 13.259201, 10.858125, 0.083943, 0.084524
FFI97_RS33375, 5.036348, 7.314360, 0.081638, 0.083201
