Species	locus_tag	refseq_id	annotation
KBS0711	FFI39_RS19250	WP008120030.1	urea ABC transporter substrate-binding protein
KBS0711	FFI39_RS19425	WP010399469.1	HAMP domain-containing protein
KBS0711	FFI39_RS20475	WP010399755.1	acetolactate synthase 3 catalytic subunit
KBS0711	FFI39_RS20535	WP020201433.1	iron-sulfur cluster assembly protein IscA
KBS0711	FFI39_RS22265	WP017878982.1	amino-acid N-acetyltransferase
KBS0711	FFI39_RS24205	WP008452953.1	ethanolamine ammonia-lyase subunit EutB
KBS0711	FFI39_RS26215	WP010462720.1	ABC transporter permease
KBS0711	FFI39_RS26530	WP010401750.1	leucine--tRNA ligase
KBS0711	FFI39_RS01155	WP010393918.1	cytochrome-c oxidase, cbb3-type subunit III
KBS0711	FFI39_RS01730	WP007858097.1	sugar ABC transporter substrate-binding protein
KBS0711	FFI39_RS03360	WP020655683.1	30S ribosomal protein S3
KBS0711	FFI39_RS05630	WP010394894.1	RNA polymerase sigma factor RpoH
KBS0711	FFI39_RS25950	WP013232709.1	fructose-bisphosphate aldolase class II
