Dormstart_date,Firstread_date,Strain,Rep,Inoculum,Dilution,Colonies
12-Feb-13,27-Mar-13,KBS0721,3,50,4,32
12-Feb-13,27-Mar-13,KBS0721,4,50,4,43
27-Feb-13,27-Mar-13,KBS0801,1,50,6,31
27-Feb-13,27-Mar-13,KBS0801,2,50,6,38
27-Feb-13,27-Mar-13,KBS0801,3,50,6,35
27-Feb-13,27-Mar-13,KBS0801,4,50,6,37
30-Jan-13,28-Mar-13,KBS0714,1,100,3,27
30-Jan-13,28-Mar-13,KBS0714,2,100,3,28
30-Jan-13,28-Mar-13,KBS0714,3,100,3,14
30-Jan-13,28-Mar-13,KBS0714,4,100,3,33
28-Jan-13,28-Mar-13,KBS0725,1,50,4,27
28-Jan-13,28-Mar-13,KBS0725,2,50,4,29
28-Jan-13,28-Mar-13,KBS0725,3,50,4,43
28-Jan-13,28-Mar-13,KBS0725,4,50,4,16
28-Jan-13,28-Mar-13,KBS0727,1,50,4,25
28-Jan-13,28-Mar-13,KBS0727,2,50,4,34
28-Jan-13,28-Mar-13,KBS0727,3,50,4,28
28-Jan-13,28-Mar-13,KBS0727,4,50,4,37
8-Feb-13,29-Mar-13,KBS0713,1,50,4,143
8-Feb-13,29-Mar-13,KBS0713,2,50,4,79
8-Feb-13,29-Mar-13,KBS0713,3,50,4,101
8-Feb-13,29-Mar-13,KBS0713,4,50,4,154
8-Mar-13,29-Mar-13,KBS0812,1,50,3,147
8-Mar-13,29-Mar-13,KBS0812,2,50,3,145
8-Mar-13,29-Mar-13,KBS0812,3,50,3,151
8-Mar-13,29-Mar-13,KBS0812,4,50,3,111
25-Jan-13,2-Apr-13,KBS0712,1,50,4,272
25-Jan-13,2-Apr-13,KBS0712,2,50,4,244
25-Jan-13,2-Apr-13,KBS0712,3,50,4,253
25-Jan-13,2-Apr-13,KBS0712,4,50,4,246
18-Feb-13,2-Apr-13,KBS0722,1,50,5,128
18-Feb-13,2-Apr-13,KBS0722,2,50,5,115
18-Feb-13,2-Apr-13,KBS0722,3,50,5,105
18-Feb-13,2-Apr-13,KBS0722,4,50,5,111
13-Feb-13,2-Apr-13,KBS0724,1,100,5,92
13-Feb-13,2-Apr-13,KBS0724,2,100,5,74
13-Feb-13,2-Apr-13,KBS0724,3,100,5,78
13-Feb-13,2-Apr-13,KBS0724,4,100,5,82
25-Feb-13,2-Apr-13,KBS0816,1,100,0,121
25-Feb-13,2-Apr-13,KBS0816,2,100,0,11
25-Feb-13,2-Apr-13,KBS0816,3,100,0,68
25-Feb-13,2-Apr-13,KBS0816,4,100,0,1
6-Mar-13,3-Apr-13,KBS0702,3,50,5,226
6-Mar-13,3-Apr-13,KBS0702,4,50,5,371
6-Mar-13,3-Apr-13,KBS0702,5,50,5,173
6-Mar-13,3-Apr-13,KBS0702,6,50,5,449
24-Jan-13,3-Apr-13,KBS0711,1,50,4,120
24-Jan-13,3-Apr-13,KBS0711,2,50,4,99
24-Jan-13,3-Apr-13,KBS0711,3,50,4,108
24-Jan-13,3-Apr-13,KBS0711,4,50,4,115
14-Mar-13,3-Apr-13,KBS0719,5,50,0,0
14-Mar-13,3-Apr-13,KBS0719,6,50,0,2
14-Mar-13,3-Apr-13,KBS0719,7,50,0,1
14-Mar-13,3-Apr-13,KBS0719,8,50,0,4
1-Feb-13,4-Apr-13,KBS0705,1,50,4,161
1-Feb-13,4-Apr-13,KBS0705,2,50,4,194
1-Feb-13,4-Apr-13,KBS0705,3,50,4,156
1-Feb-13,4-Apr-13,KBS0705,4,50,4,153
14-Feb-13,4-Apr-13,KBS0707,1,50,4,41
14-Feb-13,4-Apr-13,KBS0707,2,50,4,40
14-Feb-13,4-Apr-13,KBS0707,3,50,4,43
14-Feb-13,4-Apr-13,KBS0707,4,50,4,44
18-Jan-13,5-Apr-13,KBS0701,1,50,3,65
18-Jan-13,5-Apr-13,KBS0701,2,50,3,39
23-Jan-13,5-Apr-13,KBS0701,3,50,3,38
23-Jan-13,5-Apr-13,KBS0701,4,50,3,68
18-Jan-13,5-Apr-13,KBS0703,1,50,5,42
18-Jan-13,5-Apr-13,KBS0703,2,50,5,69
18-Jan-13,5-Apr-13,KBS0702,1,50,5,35
18-Jan-13,5-Apr-13,KBS0702,2,50,5,32
11-Jan-13,5-Apr-13,KBS0710,1,50,5,34
11-Jan-13,5-Apr-13,KBS0710,2,50,5,22
22-Jan-13,5-Apr-13,KBS0710,3,50,5,52
22-Jan-13,5-Apr-13,KBS0710,4,50,5,38
5-Apr-13,5-Apr-13,ATCC43928,1,50,6,18
5-Apr-13,5-Apr-13,ATCC43928,2,50,6,13
5-Apr-13,5-Apr-13,ATCC13985,1,50,6,13
5-Apr-13,5-Apr-13,ATCC13985,2,50,6,14
7-Mar-13,8-Apr-13,KBS0802,1,50,5,79
7-Mar-13,8-Apr-13,KBS0802,2,50,5,53
7-Mar-13,8-Apr-13,KBS0802,3,50,5,87
7-Mar-13,8-Apr-13,KBS0802,4,50,5,70
25-Feb-13,8-Apr-13,KBS0816,3,100,0,19
11-Feb-13,9-Apr-13,KBS0715,1,50,4,42
11-Feb-13,9-Apr-13,KBS0715,2,50,4,42
11-Feb-13,9-Apr-13,KBS0715,3,50,4,55
11-Feb-13,9-Apr-13,KBS0715,4,50,4,28
12-Feb-13,9-Apr-13,KBS0721,1,100,4,47
12-Feb-13,9-Apr-13,KBS0721,2,100,4,80
12-Feb-13,9-Apr-13,KBS0721,3,100,4,61
12-Feb-13,9-Apr-13,KBS0721,4,100,4,51
15-Feb-13,10-Apr-13,KBS0703,3,50,5,98
15-Feb-13,10-Apr-13,KBS0703,4,50,5,70
28-Feb-13,10-Apr-13,KBS0706,1,50,5,45
28-Feb-13,10-Apr-13,KBS0706,2,50,5,49
28-Feb-13,10-Apr-13,KBS0706,3,50,5,40
28-Feb-13,10-Apr-13,KBS0706,4,50,5,37
27-Feb-13,10-Apr-13,KBS0801,1,50,5,252
27-Feb-13,10-Apr-13,KBS0801,2,50,5,298
27-Feb-13,10-Apr-13,KBS0801,3,50,5,240
27-Feb-13,10-Apr-13,KBS0801,4,50,5,243
30-Jan-13,11-Apr-13,KBS0714,1,50,2,96
30-Jan-13,11-Apr-13,KBS0714,2,50,2,86
30-Jan-13,11-Apr-13,KBS0714,3,50,2,85
30-Jan-13,11-Apr-13,KBS0714,4,50,2,99
8-Feb-13,12-Apr-13,KBS0713,1,50,4,65
8-Feb-13,12-Apr-13,KBS0713,2,50,4,99
