strain,replicate,NT,HT,hours,dilution_V,dilution_S
SpoIIE,1,22,0,288,3,2
wt,1,25,144,288,4,3
SpoIIE,2,43,0,288,3,2
wt,2,29,171,288,4,3
SpoIIE,3,34,0,288,3,2
wt,3,30,134,288,4,3
SpoIIE,4,37,0,288,3,2
wt,4,30,115,288,4,3
SpoIIE,1,79,0,336,3,2
wt,1,26,133,336,4,3
SpoIIE,2,37,0,336,3,2
wt,2,26,163,336,4,3
SpoIIE,3,50,0,336,3,2
wt,3,39,145,336,4,3
SpoIIE,4,108,0,336,3,2
wt,4,28,165,336,4,3
SpoIIE,1,69,0,384,3,2
wt,1,47,179,384,4,3
SpoIIE,2,70,0,384,3,2
wt,2,45,185,384,4,3
SpoIIE,3,65,0,384,3,2
wt,3,48,197,384,4,3
SpoIIE,4,67,0,384,3,2
wt,4,52,194,384,4,3
SpoIIE,1,62,0,432,3,2
wt,1,28,124,432,4,3
SpoIIE,2,69,0,432,3,2
wt,2,51,143,432,4,3
SpoIIE,3,76,0,432,3,2
wt,3,42,115,432,4,3
SpoIIE,4,57,0,432,3,2
wt,4,42,109,432,4,3
SpoIIE,1,61,0,480,3,2
wt,1,39,164,480,4,3
SpoIIE,2,55,0,480,3,2
wt,2,59,163,480,4,3
SpoIIE,3,58,0,480,3,2
wt,3,39,140,480,4,3
SpoIIE,4,63,0,480,3,2
wt,4,45,110,480,4,3
SpoIIE,1,42,0,528,3,2
wt,1,38,138,528,4,3
SpoIIE,2,50,0,528,3,2
wt,2,26,155,528,4,3
SpoIIE,3,31,0,528,3,2
wt,3,30,150,528,4,3
SpoIIE,4,45,0,528,3,2
wt,4,41,165,528,4,3
SpoIIE,1,64,0,576,3,2
wt,1,35,147,576,4,3
SpoIIE,2,56,0,576,3,2
wt,2,42,156,576,4,3
SpoIIE,3,32,0,576,3,2
wt,3,35,168,576,4,3
SpoIIE,4,41,0,576,3,2
wt,4,36,157,576,4,3
SpoIIE,1,49,0,624,3,2
wt,1,25,106,624,4,3
SpoIIE,2,40,0,624,3,2
wt,2,38,119,624,4,3
SpoIIE,3,35,0,624,3,2
wt,3,28,159,624,4,3
SpoIIE,4,31,0,624,3,2
wt,4,36,128,624,4,3
SpoIIE,1,44,0,672,3,2
wt,1,35,107,672,4,3
SpoIIE,2,35,0,672,3,2
wt,2,26,110,672,4,3
SpoIIE,3,32,0,672,3,2
wt,3,41,142,672,4,3
SpoIIE,4,47,0,672,3,2
wt,4,31,119,672,4,3
SpoIIE,1,46,0,720,3,2
wt,1,23,112,720,4,3
SpoIIE,2,33,0,720,3,2
wt,2,23,130,720,4,3
SpoIIE,3,31,0,720,3,2
wt,3,22,98,720,4,3
SpoIIE,4,47,0,720,3,2
wt,4,24,83,720,4,3
SpoIIE,1,34,0,768,3,2
wt,1,21,180,768,4,3
SpoIIE,2,32,0,768,3,2
wt,2,23,170,768,4,3
SpoIIE,3,52,0,768,3,2
wt,3,24,127,768,4,3
SpoIIE,4,40,0,768,3,2
wt,4,27,146,768,4,3
SpoIIE,1,66,0,816,3,2
wt,1,28,206,816,4,3
SpoIIE,2,71,0,816,3,2
wt,2,24,164,816,4,3
SpoIIE,3,59,0,816,3,2
wt,3,32,187,816,4,3
SpoIIE,4,75,0,816,3,2
wt,4,28,168,816,4,3
SpoIIE,1,70,0,864,3,2
wt,1,23,152,864,4,3
SpoIIE,2,41,0,864,3,2
wt,2,39,169,864,4,3
SpoIIE,3,36,0,864,3,2
wt,3,41,207,864,4,3
SpoIIE,4,57,0,864,3,2
wt,4,50,212,864,4,3
SpoIIE,1,20,0,912,3,2
wt,1,28,174,912,4,3
SpoIIE,2,22,0,912,3,2
wt,2,28,146,912,4,3
SpoIIE,3,34,0,912,3,2
wt,3,34,124,912,4,3
SpoIIE,4,22,0,912,3,2
wt,4,28,82,912,4,3
SpoIIE,1,25,0,960,3,2
wt,1,29,191,960,4,3
SpoIIE,2,25,0,960,3,2
wt,2,25,180,960,4,3
SpoIIE,3,20,0,960,3,2
wt,3,27,190,960,4,3
SpoIIE,4,21,0,960,3,2
wt,4,32,179,960,4,3
SpoIIE,1,20,0,1008,3,2
wt,1,19,164,1008,4,3
SpoIIE,2,28,0,1008,3,2
wt,2,33,146,1008,4,3
SpoIIE,3,33,0,1008,3,2
wt,3,27,189,1008,4,3
SpoIIE,4,21,0,1008,3,2
wt,4,29,159,1008,4,3
SpoIIE,1,34,0,1056,3,2
wt,1,33,184,1056,4,3
SpoIIE,2,26,0,1056,3,2
wt,2,32,184,1056,4,3
SpoIIE,3,41,0,1056,3,2
wt,3,36,161,1056,4,3
SpoIIE,4,36,0,1056,3,2
wt,4,27,189,1056,4,3
SpoIIE,1,35,0,1104,3,2
wt,1,34,142,1104,4,3
SpoIIE,2,36,0,1104,3,2
wt,2,19,236,1104,4,3
SpoIIE,3,37,0,1104,3,2
wt,3,35,229,1104,4,3
SpoIIE,4,36,0,1104,3,2
wt,4,33,212,1104,4,3
SpoIIE,1,52,0,1152,3,2
wt,1,22,130,1152,4,3
SpoIIE,2,40,0,1152,3,2
wt,2,34,190,1152,4,3
SpoIIE,3,35,0,1152,3,2
wt,3,36,188,1152,4,3
SpoIIE,4,39,0,1152,3,2
wt,4,29,183,1152,4,3
SpoIIE,1,41,0,1200,3,2
wt,1,33,202,1200,4,3
SpoIIE,2,55,0,1200,3,2
wt,2,30,228,1200,4,3
SpoIIE,3,52,0,1200,3,2
wt,3,28,217,1200,4,3
SpoIIE,4,53,0,1200,3,2
wt,4,38,157,1200,4,3
SpoIIE,1,38,0,1248,3,2
wt,1,30,164,1248,4,3
SpoIIE,2,18,0,1248,3,2
wt,2,41,201,1248,4,3
SpoIIE,3,47,0,1248,3,2
wt,3,36,216,1248,4,3
SpoIIE,4,46,0,1248,3,2
wt,4,22,207,1248,4,3
SpoIIE,1,34,0,1296,3,2
wt,1,21,202,1296,4,3
SpoIIE,2,33,0,1296,3,2
wt,2,24,211,1296,4,3
SpoIIE,3,31,0,1296,3,2
wt,3,31,151,1296,4,3
SpoIIE,4,36,0,1296,3,2
SpoIIE,1,41,0,1344,3,2
wt,1,36,198,1344,4,3
SpoIIE,2,39,0,1344,3,2
wt,2,29,228,1344,4,3
SpoIIE,3,38,0,1344,3,2
wt,3,30,214,1344,4,3
SpoIIE,4,46,0,1344,3,2
wt,4,37,222,1344,4,3
SpoIIE,1,50,0,1392,3,2
wt,1,33,183,1392,4,3
SpoIIE,2,44,0,1392,3,2
wt,2,35,253,1392,4,3
SpoIIE,3,56,0,1392,3,2
wt,3,30,147,1392,4,3
SpoIIE,4,48,0,1392,3,2
wt,4,30,186,1392,4,3
SpoIIE,1,46,0,1440,3,2
wt,1,27,202,1440,4,3
SpoIIE,2,30,0,1440,3,2
wt,2,51,239,1440,4,3
SpoIIE,3,24,0,1440,3,2
wt,3,33,185,1440,4,3
SpoIIE,4,45,0,1440,3,2
wt,4,30,183,1440,4,3
SpoIIE,1,30,0,1488,3,2
wt,1,23,195,1488,4,3
SpoIIE,2,34,0,1488,3,2
wt,2,37,203,1488,4,3
SpoIIE,3,29,0,1488,3,2
wt,3,43,187,1488,4,3
SpoIIE,4,34,0,1488,3,2
wt,4,30,190,1488,4,3
SpoIIE,1,41,0,1536,3,2
wt,1,29,180,1536,4,3
SpoIIE,2,37,0,1536,3,2
wt,2,35,221,1536,4,3
SpoIIE,3,42,0,1536,3,2
wt,3,35,185,1536,4,3
SpoIIE,4,35,0,1536,3,2
wt,4,36,220,1536,4,3
SpoIIE,1,55,0,1584,3,2
wt,1,21,204,1584,4,3
SpoIIE,2,37,0,1584,3,2
wt,2,35,193,1584,4,3
SpoIIE,3,43,0,1584,3,2
wt,3,26,214,1584,4,3
SpoIIE,4,44,0,1584,3,2
wt,4,29,175,1584,4,3
SpoIIE,1,22,0,1632,3,2
wt,1,34,151,1632,4,3
SpoIIE,2,36,0,1632,3,2
wt,2,30,205,1632,4,3
SpoIIE,3,39,0,1632,3,2
wt,3,33,174,1632,4,3
SpoIIE,4,50,0,1632,3,2
wt,4,29,163,1632,4,3
SpoIIE,1,36,0,1680,3,2
wt,1,30,204,1680,4,3
SpoIIE,2,33,0,1680,3,2
wt,2,39,140,1680,4,3
SpoIIE,3,33,0,1680,3,2
wt,3,42,170,1680,4,3
SpoIIE,4,41,0,1680,3,2
wt,4,40,219,1680,4,3
SpoIIE,1,33,0,1728,3,2
wt,1,32,189,1728,4,3
SpoIIE,2,46,0,1728,3,2
wt,2,25,201,1728,4,3
SpoIIE,3,45,0,1728,3,2
wt,3,35,198,1728,4,3
SpoIIE,4,37,0,1728,3,2
wt,4,37,218,1728,4,3
SpoIIE,1,46,0,1776,3,2
wt,1,37,168,1776,4,3
SpoIIE,2,47,0,1776,3,2
wt,2,23,198,1776,4,3
SpoIIE,3,27,0,1776,3,2
wt,3,25,169,1776,4,3
SpoIIE,4,50,0,1776,3,2
wt,4,23,181,1776,4,3
SpoIIE,1,42,0,1824,3,2
wt,1,28,178,1824,4,3
SpoIIE,2,38,0,1824,3,2
wt,2,32,212,1824,4,3
SpoIIE,3,45,0,1824,3,2
wt,3,28,211,1824,4,3
SpoIIE,4,26,0,1824,3,2
wt,4,33,207,1824,4,3
SpoIIE,1,29,0,1872,3,2
wt,1,30,211,1872,4,3
SpoIIE,2,25,0,1872,3,2
wt,2,28,203,1872,4,3
SpoIIE,3,26,0,1872,3,2
wt,3,33,201,1872,4,3
SpoIIE,4,31,0,1872,3,2
wt,4,32,168,1872,4,3
SpoIIE,1,21,0,1920,3,2
wt,1,30,169,1920,4,3
SpoIIE,2,18,0,1920,3,2
wt,2,42,173,1920,4,3
SpoIIE,3,22,0,1920,3,2
wt,3,43,200,1920,4,3
SpoIIE,4,19,0,1920,3,2
wt,4,30,184,1920,4,3
SpoIIE,1,15,0,1968,3,2
wt,1,37,186,1968,4,3
SpoIIE,2,16,0,1968,3,2
wt,2,45,189,1968,4,3
SpoIIE,3,19,0,1968,3,2
wt,3,29,174,1968,4,3
SpoIIE,4,23,0,1968,3,2
wt,4,28,159,1968,4,3
SpoIIE,1,28,0,2016,3,2
wt,1,41,191,2016,4,3
SpoIIE,2,22,0,2016,3,2
wt,2,40,174,2016,4,3
SpoIIE,3,13,0,2016,3,2
wt,3,23,200,2016,4,3
SpoIIE,4,21,0,2016,3,2
wt,4,33,179,2016,4,3
