	N	N_genus
10346.TO10.12.7	57215.0	1.0
10346.Webster.4.F9.351	59007.0	6.0
10346.Webster.1.F7.67	32867.0	3.0
10346.IO5.Wnh	60097.0	694.0
10346.Webster.2.A1.95	8967.0	1.0
10346.Webster.2.C3.121	58549.0	1.0
10346.P06	35840.0	1.0
10346.SWPRBV1	68848.0	3.0
10346.Webster.3.D12.236	32808.0	1.0
10346.TW10.10.II	31280.0	27.0
10346.SH13SED	69365.0	5.0
10346.Webster.4.A7.289	83340.0	23.0
10346.Webster.1.E12.60	57599.0	1.0
10346.Webster.1.A1.1	307.0	2.0
10346.ALG12.98	22068.0	12.0
10346.6	117905.0	2.0
10346.17	77433.0	1.0
10346.TV10.12.12	77886.0	1.0
10346.Webster.3.E12.248	32858.0	1.0
10346.Webster.4.E6.336	54547.0	3.0
10346.Webster.4.C2.308	61108.0	4.0
10346.CCSA.3	41108.0	1.0
10346.Webster.5.C7.407	56458.0	1.0
10346.Webster.3.G6.266	37267.0	3.0
10346.Webster.4.C11.317	42647.0	6.0
10346.BH2.gDNA	49236.0	1.0
10346.Webster.4.B4.298	27166.0	6.0
10346.TW10.12.II	24610.0	229.0
10346.127	41116.0	2.0
10346.P10X53	60813.0	284.0
10346.SWBH.1	45147.0	10.0
10346.Webster.1.C3.27	70001.0	1.0
10346.Webster.4.E11.341	50239.0	5.0
10346.ALG12.91	48076.0	3.0
10346.Webster.5.C5.405	82422.0	6.0
10346.Webster.2.B7.113	69120.0	6.0
10346.SS.1.1	92245.0	1.0
10346.Webster.3.H11.Negative.control	4281.0	30.0
10346.Webster.1.B7.19	44152.0	4.0
10346.N50.9.1.11.BC	119582.0	4.0
10346.BCD23SED	48568.0	1.0
10346.106	40515.0	2.0
10346.88	51753.0	1.0
10346.AF11.2.15	62854.0	1.0
10346.50	84194.0	4.0
10346.BR10C.Jan	31592.0	3.0
10346.SI06.80	29076.0	93.0
10346.AF11.1.9	63516.0	2.0
10346.Webster.3.E1.237	54605.0	1.0
10346.P12x151	35595.0	1.0
10346.Webster.1.D2.38	31.0	1.0
10346.AF11.1.7	68739.0	3.0
10346.Webster.4.B11.305	48965.0	2.0
10346.IF2.WIII	64886.0	3448.0
10346.5.11.Water	49615.0	5.0
10346.TW11.7.I	45580.0	27.0
10346.IF2.WII	55596.0	4659.0
10346.Webster.1.A7.7	63663.0	1.0
10346.Webster.2.H2.179	41581.0	1.0
10346.Webster.1.G12.84	35410.0	1.0
10346.ALG12.106	38900.0	1.0
10346.AW10.8.II	34989.0	28.0
10346.SW.27	22043.0	3.0
10346.BCH32SED	31734.0	3.0
10346.Webster.2.E3.144	65549.0	2.0
10346.Webster.1.B4.16	67955.0	1.0
10346.Webster.2.H11.188	74529.0	6.0
10346.SW.H2O.4	46128.0	8.0
10346.Webster.5.E6.430	96622.0	23.0
10346.21	132910.0	1.0
10346.Webster.4.G11.365	29497.0	6.0
10346.Webster.2.D7.136	159415.0	4.0
10346.BCD31SED	32857.0	4.0
10346.Webster.2.E2.143	58678.0	7.0
10346.Webster.2.A4.98	71973.0	2.0
10346.Webster.5.A6.382	40146.0	7.0
10346.Webster.5.D3.415	199.0	1.0
10346.AW10.12.II	13030.0	440.0
10346.Webster.2.D1.130	67153.0	2.0
10346.SI06.53	57692.0	7.0
10346.Webster.3.A2.190	87395.0	2.0
10346.TV11.2.2	63365.0	1.0
10346.Webster.3.B4.204	65840.0	3.0
10346.P12x105	31336.0	1.0
10346.Webster.3.C4.216	56335.0	2.0
10346.TW11.2.III	43112.0	506.0
10346.Webster.1.C7.31	56497.0	3.0
10346.47	30769.0	1.0
10346.Webster.4.A6.288	40876.0	166.0
10346.ALG12.108	29066.0	3.0
10346.48	74390.0	3.0
10346.P12x118	53932.0	18.0
10346.Webster.5.C9.409	75100.0	1.0
10346.IO5.8	56212.0	2.0
10346.Webster.2.A6.100	45167.0	1.0
10346.CL419	13310.0	1.0
10346.Webster.4.G12.366	83889.0	2.0
10346.Webster.5.C10.410	75250.0	2.0
10346.Webster.4.A8.290	108331.0	2.0
10346.Webster.5.D5.417	284.0	1.0
10346.P12x145	32076.0	2.0
10346.Webster.5.D7.419	23955.0	3.0
10346.SWSA.3	48228.0	25.0
10346.AW10.5.III	32124.0	66.0
10346.IO2.35	47553.0	1.0
10346.71	19050.0	126.0
10346.SD13SED	37692.0	3.0
10346.IO2.WIII	56968.0	208.0
10346.P12x18	30436.0	1.0
10346.Webster.1.A5.5	22077.0	4.0
10346.Webster.3.E6.242	41229.0	1.0
10346.P12x58	36074.0	1.0
10346.SW.30	18677.0	18.0
10346.Webster.3.C1.213	86708.0	1.0
10346.SI06x69	23414.0	34.0
10346.SI06.94	41354.0	155.0
10346.SS.7.3	54374.0	6.0
10346.SWMX1.1	42674.0	2.0
10346.Webster.4.H8.374	58858.0	2.0
10346.Webster.3.B1.201	62077.0	3.0
10346.5.11.120I	64565.0	1.0
10346.Webster.4.C12.318	59029.0	35.0
10346.IF5.23	68676.0	1.0
10346.AW10.11.II	39450.0	137.0
10346.IO2.WII	52599.0	79.0
10346.P12x133	9174.0	23.0
10346.SS.29.1	37160.0	1.0
10346.Webster.4.D9.327	59311.0	19.0
10346.94	33912.0	4.0
10346.IF5.Wctr	28283.0	71.0
10346.Webster.1.G8.80	63235.0	3.0
10346.P12x54	73195.0	18.0
10346.Webster.2.D6.135	176360.0	4.0
10346.Webster.5.A8.384	287.0	1.0
10346.Webster.3.B11.211	42018.0	2.0
10346.Webster.1.C5.29	44833.0	15.0
10346.7.VIII.05.2.009	32015.0	1.0
10346.Webster.2.C10.127	66085.0	5.0
10346.Webster.1.D6.42	64112.0	1.0
10346.Webster.5.A12.388	22628.0	3.0
10346.AW10.3.II	55030.0	113.0
10346.ALG12.111	7799.0	2.0
10346.BCH11SED	51621.0	5.0
10346.SW.16	23715.0	39.0
10346.Webster.5.B6.394	31192.0	9.0
10346.SS.3.2	46312.0	1.0
10346.SW.H2O.5	50507.0	14.0
10346.Webster.3.F9.257	114339.0	2.0
10346.Webster.2.F5.158	93279.0	2.0
10346.CL43	15998.0	5.0
10346.Webster.3.G11.271	76077.0	4.0
10346.Webster.4.F12.354	128944.0	2.0
10346.SWBHPK1	48279.0	71.0
10346.Webster.4.A3.285	38166.0	28.0
10346.Webster.2.G5.170	91166.0	1.0
10346.P12x124	8338.0	2.0
10346.BCH13SED	82169.0	8.0
10346.Webster.3.F5.253	87261.0	1.0
10346.Webster.1.C4.28	58408.0	6.0
10346.BCH1H2O	62478.0	4.0
10346.40	46833.0	7.0
10346.Webster.2.D11.140	55495.0	4.0
10346.AW10.11.I	34448.0	95.0
10346.SWBHMPV3	65237.0	185.0
10346.IO5.18	52715.0	9.0
10346.Webster.2.F7.160	146061.0	2.0
10346.TW10.6.I	39169.0	3.0
10346.P12x56	28479.0	111.0
10346.Webster.4.F2.344	61658.0	2.0
10346.Webster.1.B11.23	57943.0	2.0
10346.N32.5.9.11.DC	53662.0	2.0
10346.TW10.9.III	65723.0	4.0
10346.BCD11SED	39915.0	8.0
10346.Webster.4.A5.287	70233.0	7.0
10346.TV11.1.12	72451.0	1.0
10346.SW.241	39542.0	16.0
10346.AW11.3.II	8534.0	7.0
10346.BR10C.Nov	57272.0	1.0
10346.Webster.3.C5.217	62785.0	1.0
10346.SS.15.3	53916.0	1.0
10346.Webster.3.G12.272	30969.0	1.0
10346.Webster.4.F3.345	48488.0	55.0
10346.TW10.11.I	34612.0	2951.0
10346.AW10.5.II	46079.0	105.0
10346.TW10.11.II	50932.0	5320.0
10346.Webster.4.G2.356	28956.0	1.0
10346.Webster.3.E2.238	41560.0	2.0
10346.Webster.1.E8.56	82693.0	2.0
10346.Webster.1.D12.48	45714.0	2.0
10346.Webster.1.D9.45	93986.0	2.0
10346.49	43832.0	2.0
10346.SH22SED	45338.0	3.0
10346.43	64357.0	2.0
10346.Webster.3.A4.192	60863.0	2.0
10346.Webster.3.H1.273	42621.0	1.0
10346.TV11.7.7	66740.0	8.0
10346.Webster.2.E4.145	91583.0	1.0
10346.SWMX1.3	37088.0	8.0
10346.AW11.2.I	47601.0	149.0
10346.SD11SED	46495.0	3.0
10346.45	16088.0	1.0
10346.Webster.1.D8.44	82620.0	2.0
10346.SH33SED	40320.0	2.0
10346.30	59989.0	1.0
10346.Webster.3.C10.222	92349.0	1.0
10346.TV11.8.7	62624.0	1.0
10346.TO10.9.19	47992.0	1.0
10346.Webster.3.D7.231	59534.0	3.0
10346.Webster.2.E9.150	60248.0	1.0
10346.Webster.5.A3.379	20336.0	9.0
10346.Webster.4.C8.314	82730.0	5.0
10346.ALG12.2	58659.0	2.0
10346.Webster.2.G4.169	117750.0	39.0
10346.P12x122	35118.0	9.0
10346.ALG12.114	24388.0	5.0
10346.BCD12SED	56132.0	1.0
10346.HW9C.Jan	55313.0	2.0
10346.AW11.2.III	38570.0	78.0
10346.Webster.4.E10.340	58053.0	6.0
10346.Webster.4.D7.325	113503.0	11.0
10346.IF2.31	46812.0	2.0
10346.12	47616.0	12.0
10346.SS.18.1	42701.0	1.0
10346.IF5.Wnh	36671.0	210.0
10346.Webster.3.E3.239	39663.0	1.0
10346.105	42927.0	4.0
10346.BCD33SED	64073.0	15.0
10346.GC.4.1	5101.0	1.0
10346.TV10.10.7	50045.0	1.0
10346.SWPRD2	70845.0	27.0
10346.PO10.3.7.1181810	51668.0	1.0
10346.TW11.3.II	40061.0	123.0
10346.AW11.2.II	59717.0	146.0
10346.Webster.4.B12.306	54444.0	1.0
10346.SWPRD3	66419.0	20.0
10346.GC.2.5	56161.0	1.0
10346.64	34881.0	5.0
10346.SH23SED	44888.0	4.0
10346.Webster.3.G5.265	72885.0	3.0
10346.SS.22.1	52406.0	1.0
10346.Webster.3.E8.244	45507.0	3.0
10346.Webster.3.H5.277	63553.0	2.0
10346.44	66658.0	2.0
10346.CL53	64885.0	16.0
10346.Webster.2.F1.154	114835.0	5.0
10346.SD22SED	70528.0	11.0
10346.Webster.5.A4.380	25070.0	42.0
10346.126	42136.0	1.0
10346.TW10.3.II	62043.0	87.0
10346.AF10.8.9	53142.0	1.0
10346.Webster.5.B4.392	24242.0	6.0
10346.Webster.4.A4.286	82147.0	5.0
10346.BCH12SED	15022.0	1.0
10346.Webster.1.D7.43	331958.0	10.0
10346.SI06.9	46318.0	8.0
10346.Webster.1.F4.64	54739.0	1.0
10346.TO10.6.7	40655.0	2.0
10346.81	44764.0	2.0
