	N	S	N_sporeN	S_sporeN	N_sporeY	S_sporeY	ph
10156.1C2	544.0	66	12.0	1	0.0	0	6.98
10156.1C3.1	763.0	86	44.0	3	0.0	0	6.77
10156.1C3.2	20114.0	2567	1.0	1	52.0	4	5.81
10156.1C4	20099.0	2612	69.0	1	31.0	9	6.88
10156.1S1	130705.0	5659	12.0	2	206.0	18	7.07
10156.1S3.2	189964.0	5898	62.0	2	609.0	20	7.31
10156.1S4	128213.0	5471	32.0	1	726.0	17	7.37
10156.1T1	40229.0	3795	16.0	1	65.0	7	7.33
10156.1T2	150269.0	5010	32.0	4	237.0	13	6.1
10156.1T3	537.0	91	7.0	1	0.0	0	7.1
10156.1T4	707.0	104	14.0	1	0.0	0	6.63
10156.1T5	196730.0	5923	61.0	2	172.0	10	7.22
10156.2	102566.0	4930	21.0	2	92.0	9	5.67
10156.20	118954.0	3269	31.0	2	235.0	17	5.39
10156.21	80700.0	3668	0.0	0	61.0	14	5.46
10156.22	105853.0	4366	75.0	3	133.0	10	6.92
10156.23	103939.0	6225	61.0	2	199.0	18	7.56
10156.24	7408.0	1985	9.0	1	5.0	1	6.36
10156.25	4801.0	114	593.0	4	0.0	0	6.36
10156.26	543.0	111	17.0	1	0.0	0	6.22
10156.27	2759.0	1248	29.0	1	2.0	2	6.3
10156.28	90348.0	5568	23.0	1	32.0	9	6.63
10156.29	148954.0	6252	22.0	2	539.0	14	6.54
10156.2B1	98298.0	6110	159.0	10	91.0	8	7.13
10156.2B2	87672.0	6325	57.0	2	63.0	10	7.18
10156.2B3	83342.0	6080	6.0	1	54.0	6	7.01
10156.2B4	256860.0	7710	37.0	5	289.0	12	7.13
10156.2B5	144681.0	6903	13.0	1	166.0	11	7.16
10156.2C1	111095.0	6067	41.0	2	173.0	13	7.7
10156.2C2	174589.0	6935	68.0	3	154.0	13	7.46
10156.2C3	203320.0	6872	24.0	1	257.0	14	7.74
10156.2C4	209890.0	7330	54.0	5	394.0	10	7.62
10156.2C5	166686.0	6569	3.0	2	262.0	13	7.74
10156.2S1	85277.0	6245	18.0	1	138.0	9	7.15
10156.2S2	125066.0	6537	29.0	1	120.0	11	7.23
10156.2S3	87179.0	6022	34.0	2	52.0	8	7.18
10156.2S4	165914.0	6756	22.0	3	231.0	8	7.32
10156.2S5	146438.0	6237	40.0	9	201.0	12	7.34
10156.2T1	135596.0	7581	22.0	1	97.0	8	7.12
10156.2T2	153508.0	7409	13.0	1	254.0	16	7.16
10156.2T3	73194.0	5686	63.0	1	66.0	6	7.2
10156.2T4	93442.0	6678	75.0	1	73.0	10	7.1
10156.2T5	129958.0	6776	34.0	1	176.0	11	7.29
10156.3	90493.0	5168	35.0	4	123.0	14	7.39
10156.30	194940.0	7086	15.0	1	302.0	24	6.54
10156.31	143290.0	4368	42.0	2	311.0	13	8.22
10156.32	143268.0	3039	41.0	2	372.0	8	8.39
10156.33	189008.0	5742	12.0	2	155.0	16	6.85
10156.34	77129.0	4676	83.0	2	136.0	12	6.87
10156.35	83851.0	4562	102.0	3	2528.0	13	6.9
10156.36	52565.0	2595	53.0	1	658.0	8	7.73
10156.37	160886.0	4807	22.0	2	469.0	16	6.66
10156.38	114607.0	3522	6.0	3	38.0	7	6.26
10156.39	110899.0	5605	66.0	3	207.0	15	5.95
10156.3B1	174181.0	6394	11.0	4	243.0	10	7.29
10156.3B2	90055.0	4336	21.0	4	112.0	6	7.4
10156.3B3	134640.0	5532	579.0	7	137.0	10	6.98
10156.3B4	80033.0	4704	0.0	0	325.0	13	7.27
10156.3B5	120668.0	5884	1.0	1	153.0	8	6.81
10156.3C1	80736.0	4709	38.0	5	109.0	10	7.46
10156.3C2	156187.0	6451	42.0	3	305.0	11	7.3
10156.3C3	92740.0	5241	10.0	3	178.0	9	7.36
10156.3C4	124861.0	6485	49.0	3	273.0	14	7.23
10156.3C5	145826.0	3424	18.0	4	298.0	3	7.12
10156.3S1	45565.0	4283	34.0	5	76.0	7	7.38
10156.3S2	118552.0	6030	18.0	4	84.0	9	7.38
10156.3S3	71393.0	4728	91.0	7	63.0	7	7.33
10156.3S4	47754.0	3640	40.0	4	135.0	7	7.73
10156.3S5	191077.0	6846	3.0	2	452.0	14	7.35
10156.3T1	116037.0	3882	7.0	3	278.0	9	7.25
10156.3T2	100565.0	5769	20.0	3	174.0	11	7.32
10156.3T3	198518.0	7281	28.0	4	303.0	18	6.38
10156.3T4	96879.0	5683	29.0	3	170.0	10	7.28
10156.3T5	100595.0	5818	20.0	3	188.0	9	7.24
10156.4	123725.0	6125	4.0	2	167.0	16	5.67
10156.40	121571.0	6418	95.0	3	91.0	14	5.73
10156.41	88399.0	5638	1.0	1	30.0	12	6.55
10156.42	31621.0	441	91.0	4	0.0	0	7.73
10156.43	58481.0	5718	60.0	1	157.0	10	7.62
10156.44.A	102073.0	5436	131.0	5	434.0	14	7.8
10156.45	108913.0	5039	3.0	2	151.0	17	6.57
10156.46	107446.0	5242	28.0	3	149.0	17	5.85
10156.47	63844.0	3584	50.0	2	22.0	3	5.06
10156.48	99791.0	4099	15.0	3	53.0	7	7.96
10156.49	84780.0	4414	34.0	1	143.0	10	7.01
10156.4B1	83020.0	4447	48.0	3	39.0	7	4.54
10156.4B2	198276.0	5377	111.0	4	63.0	9	5.01
10156.4B5	199018.0	5559	53.0	3	136.0	17	4.64
10156.4C2	79530.0	3561	10.0	1	33.0	5	4.5
10156.4C3	127706.0	5256	90.0	5	64.0	11	4.5
10156.4C4	179273.0	4966	105.0	5	79.0	8	4.6
10156.4S1	209141.0	4462	44.0	3	132.0	10	4.42
10156.4S3	89654.0	4487	49.0	5	183.0	10	4.77
10156.4S4	153687.0	4464	21.0	4	662.0	18	4.35
10156.4T1	121853.0	4676	133.0	4	27.0	6	4.65
10156.4T2	137266.0	4530	108.0	4	50.0	11	4.45
10156.4T4	94925.0	4328	115.0	6	43.0	9	4.55
10156.5	77779.0	4718	32.0	3	91.0	7	5.84
10156.50	91321.0	5421	11.0	2	68.0	13	6.07
10156.51	31141.0	545	902.0	10	392.0	2	8.37
10156.52	144740.0	6893	60.0	3	201.0	12	7.68
10156.53	129592.0	4880	41.0	2	1309.0	17	7.73
10156.54	172718.0	4312	73.0	3	154.0	12	6.28
10156.55	320263.0	6461	326.0	2	357.0	22	6.13
10156.56.A	118939.0	5234	89.0	6	140.0	17	6.3
10156.6	137706.0	5790	22.0	3	133.0	15	7.21
10156.7	172741.0	5952	21.0	2	1120.0	18	7.95
10156.8	70727.0	4220	6.0	2	28.0	5	7.72
10156.9	24649.0	2616	0.0	0	17.0	5	7.97
10156.BCWL1.1	74942.0	4089	14.0	1	46.0	9	4.72
10156.BCWL1.2	48602.0	4254	18.0	6	29.0	11	4.75
10156.BCWL1.3	72840.0	4178	50.0	5	42.0	10	4.69
10156.BCWL2.1	56815.0	4059	31.0	5	20.0	4	4.54
10156.BCWL2.2	31711.0	3086	3.0	2	29.0	7	4.61
10156.BCWL2.3	56018.0	3943	26.0	5	25.0	6	4.63
10156.BCWL3.1	76751.0	4839	18.0	2	45.0	10	4.69
10156.BCWL3.2	99494.0	4893	29.0	5	86.0	13	4.65
10156.BCWL3.3	101251.0	4935	31.0	5	90.0	14	4.68
10156.BCWL4.1	118768.0	4967	26.0	4	38.0	9	4.65
10156.BCWL4.2	65857.0	4542	29.0	4	28.0	11	4.48
10156.BCWL4.3	58329.0	4457	33.0	7	22.0	8	4.48
10156.BCWL5.1	115716.0	4604	3.0	1	114.0	16	5.06
10156.BCWL5.2	104467.0	4914	21.0	5	45.0	6	5.03
10156.BCWL5.3	163492.0	5474	23.0	5	122.0	13	4.93
10156.CBFSNW1	742.0	182	20.0	4	0.0	0	7.34
10156.CBFSNW2	140814.0	5698	31.0	8	58.0	12	6.37
10156.CBFSNW3	99790.0	5128	84.0	6	41.0	11	6.25
10156.NW4.A	116573.0	6332	25.0	5	57.0	10	5.25
10156.NW5.A	142386.0	6852	22.0	4	80.0	9	5.09
10180.A10I	139623.0	3828	357.0	4	98.0	3	4.65
10180.A10III	14116.0	1790	58.0	4	2.0	2	4.65
10180.A11I	78071.0	4434	283.0	4	33.0	10	4.85
10180.A11III	67235.0	4340	111.0	4	27.0	10	4.85
10180.A12I	61613.0	3758	48.0	4	109.0	8	5.5
10180.A12III	98526.0	4923	286.0	4	91.0	11	5.5
10180.A13I	349224.0	5822	759.0	7	563.0	15	5.65
10180.A13III	14.0	14	1.0	1	0.0	0	5.65
10180.A14II	176.0	19	4.0	2	0.0	0	5.25
10180.A14V	395800.0	6654	560.0	6	447.0	14	5.25
10180.A15I	536264.0	6277	4914.0	7	352.0	6	5.25
10180.A15II	528980.0	7924	1038.0	7	421.0	12	5.25
10180.A16I	7.0	6	2.0	1	0.0	0	5.25
10180.A17II	38717.0	3196	30.0	2	15.0	4	5.05
10180.A17III	70085.0	3269	98.0	2	3.0	3	5.05
10180.A18I	73891.0	2840	9.0	2	13.0	5	4.85
10180.A18III	124758.0	4444	8.0	5	27.0	5	4.85
10180.A1III	38122.0	3344	34.0	3	25.0	7	5.55
10180.A2I	80362.0	4940	45.0	3	61.0	12	5.55
10180.A2III	44123.0	3386	43.0	4	24.0	5	5.55
10180.A3III	42056.0	3559	17.0	2	42.0	5	5.35
10180.A3V	114640.0	5470	50.0	2	84.0	9	5.35
10180.A4II	34631.0	3422	112.0	4	48.0	6	4.95
10180.A4V	72753.0	4482	71.0	4	40.0	6	4.95
10180.A5II	79762.0	4082	164.0	4	27.0	8	5.25
10180.A5III	80544.0	5012	63.0	3	44.0	8	5.25
10180.A6I	121405.0	4069	101.0	3	83.0	8	4.95
10180.A6II	317408.0	5297	378.0	6	456.0	10	4.95
10180.A7I	97885.0	4670	173.0	4	74.0	11	5.25
10180.A7II	118240.0	5110	198.0	4	160.0	15	5.25
10180.A8I	54378.0	3993	72.0	4	61.0	12	5.4
10180.A8II	224342.0	6660	90.0	5	101.0	20	5.4
10180.A9I	210701.0	4976	257.0	6	64.0	10	5.25
10180.B3I	70016.0	4382	523.0	3	54.0	14	5.2
10180.B3II	23812.0	197	557.0	7	1.0	1	5.2
10180.B4I	77955.0	5643	153.0	5	41.0	8	5.95
10180.B4III	94673.0	3006	6.0	1	194.0	4	5.95
10180.B5I	57652.0	4507	140.0	3	23.0	5	5.9
10180.B5III	82558.0	5218	112.0	4	67.0	6	5.9
10180.B6I	87308.0	5350	294.0	4	44.0	6	5.55
10180.B6II	29.0	20	2.0	2	0.0	0	5.55
10180.D1I	53114.0	3744	29.0	4	89.0	8	5.45
10180.D1II	231613.0	6239	219.0	6	142.0	11	5.45
10180.D2II	4037.0	135	3.0	1	0.0	0	5.3
10180.D2III	72809.0	3944	125.0	6	38.0	4	5.3
10180.D4IV	85121.0	4859	75.0	4	116.0	10	5.15
10180.D4V	20953.0	1868	300.0	8	37.0	2	5.15
10180.D5I	71834.0	3058	109.0	3	131.0	6	5.25
10180.F10II	159064.0	5602	397.0	5	123.0	10	5.35
10180.F10III	7320.0	172	103.0	6	111.0	1	5.35
10180.F11II	144265.0	4302	372.0	5	62.0	8	5.5
10180.F11IV	77741.0	3385	247.0	2	38.0	6	5.5
10180.F12I	228315.0	5598	832.0	4	280.0	15	5.35
10180.F12II	291838.0	6577	784.0	7	296.0	9	5.35
10180.F1III	213787.0	5907	330.0	5	328.0	13	5.45
10180.F1IV	133743.0	5142	297.0	4	410.0	12	5.45
10180.F2I	152453.0	5752	131.0	4	238.0	13	5.7
10180.F2II	74720.0	4149	53.0	5	163.0	8	5.7
10180.F3I	103184.0	4812	375.0	4	88.0	14	5.15
10180.F3II	87720.0	3684	221.0	3	27.0	6	5.15
10180.F4I	136159.0	5032	1740.0	6	76.0	7	5.7
10180.F4III	164394.0	6171	437.0	4	99.0	12	5.7
10180.F5I	126521.0	4434	81.0	5	180.0	10	5.3
10180.F5III	134591.0	5471	133.0	4	68.0	9	5.3
10180.F6II	162223.0	5303	615.0	6	151.0	14	4.95
10180.F6III	6.0	5	2.0	1	0.0	0	4.95
10180.F7II	71016.0	3726	330.0	4	33.0	5	4.95
10180.F8IV	87767.0	3211	163.0	3	67.0	8	5.35
10180.F8V	81093.0	3465	199.0	5	55.0	9	5.35
10180.F9IV	131485.0	4876	311.0	8	85.0	7	5.35
10180.F9V	141634.0	5476	393.0	2	84.0	9	5.35
10180.G4II	216692.0	4823	707.0	5	134.0	10	5.2
10180.G4IV	183424.0	5995	528.0	4	174.0	13	5.2
10180.G5I	194234.0	5836	862.0	8	190.0	13	5.8
10180.G5V	158218.0	5970	268.0	4	136.0	16	5.8
10180.G6II	112791.0	4184	27.0	3	157.0	8	5.45
10180.G6V	109110.0	4857	33.0	4	86.0	15	5.45
10180.G8II	127905.0	5074	78.0	5	20.0	4	6.5
10180.I101	15065.0	158	1254.0	7	0.0	0	5.8
10180.I10II	110193.0	4721	1123.0	28	26.0	2	5.8
10180.I3III	254959.0	6245	1182.0	7	254.0	12	4.9
10180.I3IV	143221.0	5101	580.0	2	122.0	11	4.9
10180.I4I	227071.0	5287	1012.0	5	62.0	11	4.7
10180.I4IV	177261.0	5150	370.0	5	112.0	17	4.7
10180.I9I	76502.0	3705	120.0	4	43.0	5	5.1
10180.I9II	99260.0	4297	574.0	3	126.0	8	5.1
10180.J10II	98482.0	3106	1025.0	3	53.0	4	5.8
10180.J10IV	114835.0	5221	446.0	4	104.0	14	5.8
10180.J1I	119001.0	5508	221.0	5	61.0	6	5.6
10180.J1II	142082.0	4552	3017.0	15	136.0	7	5.6
10180.J2I	133918.0	6324	216.0	4	125.0	10	4.85
10180.J2II	97612.0	5797	53.0	5	172.0	8	4.85
10180.J3III	156334.0	4134	141.0	5	47.0	7	5.7
10180.J3IV	4516.0	1285	5.0	2	1.0	1	5.7
10180.J4I	68910.0	3514	65.0	2	33.0	5	5.5
10180.J4III	57013.0	3654	41.0	1	7.0	4	5.5
10180.J5I	232.0	164	3.0	3	0.0	0	5.2
10180.J5II	8886.0	1828	25.0	4	1.0	1	5.2
10180.J6III	6194.0	1496	5.0	2	7.0	3	6.0
10180.J6IV	131605.0	5509	159.0	5	201.0	15	6.0
10180.J7I	175819.0	3841	251.0	4	82.0	8	4.65
10180.J7IV	131063.0	3458	866.0	5	43.0	7	4.65
10180.J8II	69868.0	2121	85.0	6	1.0	1	5.1
10180.J8IV	134198.0	4455	381.0	6	45.0	6	5.1
10180.J9III	93007.0	4299	74.0	4	53.0	6	6.0
10180.J9IV	73160.0	3709	55.0	3	75.0	4	6.0
10180.K2III	25415.0	2801	89.0	3	19.0	9	3.7
10180.K2IV	23568.0	2132	17.0	6	13.0	7	3.7
10180.K3II	27970.0	1701	237.0	2	1.0	1	5.5
10180.K3IV	61163.0	1852	115.0	4	23.0	2	5.5
10180.K5I	88520.0	4478	578.0	3	91.0	6	5.4
10180.K5III	95049.0	4897	654.0	3	125.0	18	5.4
10180.K6III	110337.0	3700	56.0	3	83.0	7	6.55
10180.K6IV	42632.0	3971	32.0	6	44.0	10	6.55
10180.L12I	78350.0	2792	51.0	3	31.0	3	5.6
10180.L12II	2735.0	122	8.0	1	0.0	0	5.6
10180.L3I	200377.0	4906	566.0	4	81.0	5	5.8
10180.L3II	147342.0	4001	519.0	4	135.0	4	5.8
10180.L5I	157725.0	4384	54.0	7	39.0	7	5.25
10180.L5II	153261.0	4307	80.0	2	18.0	7	5.25
10180.L6I	98202.0	4945	117.0	6	48.0	8	5.7
10180.L6II	10.0	10	2.0	2	0.0	0	5.7
10246.BI.D.B5	8403.0	883	0.0	0	3.0	1	8.30000019
10246.BI.D.I1	8501.0	762	0.0	0	4.0	2	8.06000042
10246.BI.D.I3	8387.0	799	0.0	0	3.0	1	8.06000042
10246.BO1.I8	20177.0	1654	1.0	1	0.0	0	4.87
10246.ER.B1	11339.0	973	1.0	1	0.0	0	6.46000004
10246.ER.I5	8514.0	954	1.0	1	0.0	0	6.0
10246.ER.I8	7785.0	764	1.0	1	0.0	0	5.5
10246.HI.B1	7935.0	696	0.0	0	4.0	1	8.550000195
10246.HI.B5	11402.0	762	2.0	1	0.0	0	8.15
10246.HI.I2	12227.0	1007	0.0	0	4.0	1	7.78000021
10246.HI.I3	8664.0	732	0.0	0	1.0	1	7.98999977
10246.HI.I4	7346.0	658	1.0	1	0.0	0	7.78000021
10246.PP.B4	11645.0	1335	1.0	1	0.0	0	6.53000021
10246.PP.I10	7346.0	773	0.0	0	3.0	1	6.21
10246.PP.I11	3095.0	431	0.0	0	2.0	1	5.39
10246.PP.I13	6188.0	525	0.0	0	3.0	1	5.46
10246.PP.I3	6971.0	1080	0.0	0	2.0	1	7.13999987
10246.PP.I5	9858.0	1094	26.0	2	0.0	0	7.36999989
10246.PP.I7	9549.0	1114	0.0	0	2.0	1	6.16
10246.VD.I3	27912.0	936	0.0	0	6.0	2	3.98
10246.VD.I4	19538.0	1320	1.0	1	0.0	0	3.88
10278.T1.B1.20	128040.0	802	2.0	2	2.0	2	4.42
10278.T1.B1.20	5.0	4	5.0	4	5.0	4	4.42
10278.T1.B1.20	61.0	31	0.0	0	61.0	31	4.42
10278.T1.B1.5	41.0	5	41.0	5	41.0	5	4.75
10278.T1.B1.5	48.0	26	0.0	0	48.0	26	4.75
10278.T1.B2.20	75670.0	928	1.0	1	1.0	1	4.54
10278.T1.B2.20	11.0	8	11.0	8	11.0	8	4.54
10278.T1.B2.20	30340.0	1027	0.0	0	1.0	1	4.54
10278.T1.B2.20	68.0	32	0.0	0	68.0	32	4.54
10278.T1.B2.5	79247.0	1291	8.0	3	18.0	3	5.22
10278.T1.B2.5	264.0	5	264.0	5	264.0	5	5.22
10278.T1.B2.5	33065.0	1556	1.0	1	131.0	8	5.22
10278.T1.B2.5	131.0	23	0.0	0	131.0	23	5.22
10278.T1.B4.20	73748.0	662	1.0	1	1.0	1	4.12
10278.T1.B4.20	10.0	7	10.0	7	10.0	7	4.12
10278.T1.B4.20	74.0	33	0.0	0	74.0	33	4.12
10278.T1.B4.5	84058.0	1672	5.0	2	9.0	3	4.4
10278.T1.B4.5	100.0	5	100.0	5	100.0	5	4.4
10278.T1.B4.5	34840.0	1808	0.0	0	4.0	2	4.4
10278.T1.B4.5	64.0	23	0.0	0	64.0	23	4.4
10278.T1.B6.20	77228.0	1147	1.0	1	7.0	1	4.47
10278.T1.B6.20	14.0	9	14.0	9	14.0	9	4.47
10278.T1.B6.20	31021.0	1214	1.0	1	6.0	3	4.47
10278.T1.B6.20	61.0	27	0.0	0	61.0	27	4.47
10278.T1.B6.5	63702.0	1550	1.0	1	5.0	2	4.66
10278.T1.B6.5	60.0	8	60.0	8	60.0	8	4.66
10278.T1.B6.5	26901.0	1656	1.0	1	20.0	3	4.66
10278.T1.B6.5	63.0	27	0.0	0	63.0	27	4.66
10278.T1.B7.20	107495.0	1042	6.0	3	9.0	2	4.26
10278.T1.B7.20	3.0	3	3.0	3	3.0	3	4.26
10278.T1.B7.20	43795.0	1199	0.0	0	1.0	1	4.26
10278.T1.B7.20	66.0	26	0.0	0	66.0	26	4.26
10278.T1.B7.5	61912.0	1374	6.0	4	0.0	0	4.64
10278.T1.B7.5	41.0	7	41.0	7	41.0	7	4.64
10278.T1.B7.5	26242.0	1505	1.0	1	2.0	2	4.64
10278.T1.B7.5	35.0	27	0.0	0	35.0	27	4.64
10278.T1.B9.20	109211.0	800	2.0	2	12.0	2	4.28
10278.T1.B9.20	44457.0	945	0.0	0	4.0	3	4.28
10278.T1.B9.5	48825.0	1088	5.0	3	3.0	2	4.55
10278.T1.B9.5	23.0	5	23.0	5	23.0	5	4.55
10278.T1.B9.5	21317.0	1178	1.0	1	2.0	2	4.55
10278.T1.B9.5	96.0	53	0.0	0	96.0	53	4.55
10278.T1.F1.20	79280.0	3180	5.0	4	7.0	4	6.46
10278.T1.F1.20	34332.0	3331	0.0	0	2.0	2	6.46
10278.T1.F1.5	51016.0	3584	4.0	2	15.0	5	6.63
10278.T1.F1.5	6.0	5	6.0	5	6.0	5	6.63
10278.T1.F1.5	21912.0	3421	2.0	1	10.0	5	6.63
10278.T1.F1.5	39.0	35	0.0	0	39.0	35	6.63
10278.T1.F2.20	45473.0	2207	2.0	1	4.0	3	6.19
10278.T1.F2.20	4.0	4	4.0	4	4.0	4	6.19
10278.T1.F2.20	18618.0	2232	2.0	1	0.0	0	6.19
10278.T1.F2.20	44.0	32	0.0	0	44.0	32	6.19
10278.T1.F2.5	81335.0	4031	8.0	3	74.0	5	6.28
10278.T1.F2.5	7.0	6	7.0	6	7.0	6	6.28
10278.T1.F2.5	34062.0	3833	1.0	1	37.0	8	6.28
10278.T1.F2.5	52.0	44	0.0	0	52.0	44	6.28
10278.T1.F6.20	54627.0	2298	2.0	2	60.0	6	6.36
10278.T1.F6.20	11.0	10	11.0	10	11.0	10	6.36
10278.T1.F6.20	25623.0	2520	0.0	0	24.0	6	6.36
10278.T1.F6.20	74.0	53	0.0	0	74.0	53	6.36
10278.T1.F6.5	76147.0	3910	4.0	2	45.0	8	6.6
10278.T1.F6.5	8.0	8	8.0	8	8.0	8	6.6
10278.T1.F6.5	32105.0	3784	0.0	0	26.0	10	6.6
10278.T1.F6.5	49.0	44	0.0	0	49.0	44	6.6
10278.T1.F7.20	68649.0	2912	1.0	1	7.0	3	6.2
10278.T1.F7.20	9.0	8	9.0	8	9.0	8	6.2
10278.T1.F7.20	30011.0	2998	0.0	0	4.0	3	6.2
10278.T1.F7.20	106.0	76	0.0	0	106.0	76	6.2
10278.T1.F7.5	74519.0	4223	13.0	3	17.0	5	6.12
10278.T1.F7.5	12.0	11	12.0	11	12.0	11	6.12
10278.T1.F7.5	32594.0	3992	2.0	2	12.0	6	6.12
10278.T1.F7.5	75.0	59	0.0	0	75.0	59	6.12
10278.T1.F8.20	46214.0	2099	0.0	0	11.0	6	6.07
10278.T1.F8.20	11.0	11	11.0	11	11.0	11	6.07
10278.T1.F8.20	20072.0	2178	0.0	0	5.0	3	6.07
10278.T1.F8.20	104.0	74	0.0	0	104.0	74	6.07
10278.T1.F8.5	104817.0	3726	2.0	2	11.0	4	6.03
10278.T1.F8.5	7.0	4	7.0	4	7.0	4	6.03
10278.T1.F8.5	45660.0	3812	1.0	1	1.0	1	6.03
10278.T1.F8.5	79.0	66	0.0	0	79.0	66	6.03
10278.T1.F9.20	56288.0	3044	3.0	2	5.0	2	6.78
10278.T1.F9.20	4.0	4	4.0	4	4.0	4	6.78
10278.T1.F9.20	23765.0	3074	1.0	1	4.0	3	6.78
10278.T1.F9.20	28.0	26	0.0	0	28.0	26	6.78
10278.T1.F9.5	89801.0	4229	11.0	6	30.0	5	6.71
10278.T1.F9.5	5.0	4	5.0	4	5.0	4	6.71
10278.T1.F9.5	38417.0	4269	5.0	4	10.0	8	6.71
10278.T1.F9.5	38.0	35	0.0	0	38.0	35	6.71
10278.T2.B1.20	99863.0	785	3.0	2	0.0	0	4.03
10278.T2.B1.20	4.0	4	4.0	4	4.0	4	4.03
10278.T2.B1.20	39375.0	900	1.0	1	0.0	0	4.03
10278.T2.B1.20	83.0	25	0.0	0	83.0	25	4.03
10278.T2.B1.5	80833.0	1392	4.0	3	0.0	0	4.24
10278.T2.B1.5	15.0	6	15.0	6	15.0	6	4.24
10278.T2.B1.5	40.0	23	0.0	0	40.0	23	4.24
10278.T2.B2.20	66881.0	757	2.0	2	0.0	0	3.79
10278.T2.B2.20	10.0	6	10.0	6	10.0	6	3.79
10278.T2.B2.20	27163.0	884	1.0	1	0.0	0	3.79
10278.T2.B2.20	71.0	30	0.0	0	71.0	30	3.79
10278.T2.B2.5	68247.0	778	3.0	3	6.0	2	4.42
10278.T2.B2.5	70.0	5	70.0	5	70.0	5	4.42
10278.T2.B2.5	28331.0	889	0.0	0	5.0	2	4.42
10278.T2.B2.5	58.0	21	0.0	0	58.0	21	4.42
10278.T2.B4.20	131848.0	755	8.0	4	2.0	2	4.04
10278.T2.B4.20	7.0	5	7.0	5	7.0	5	4.04
10278.T2.B4.20	52229.0	922	3.0	2	0.0	0	4.04
10278.T2.B4.20	63.0	30	0.0	0	63.0	30	4.04
10278.T2.B4.5	83713.0	1470	5.0	3	3.0	3	4.27
10278.T2.B4.5	10.0	7	10.0	7	10.0	7	4.27
10278.T2.B4.5	73.0	40	0.0	0	73.0	40	4.27
10278.T2.B6.20	75550.0	778	4.0	3	1.0	1	4.59
10278.T2.B6.20	10.0	6	10.0	6	10.0	6	4.59
10278.T2.B6.20	30491.0	890	1.0	1	0.0	0	4.59
10278.T2.B6.20	83.0	35	0.0	0	83.0	35	4.59
10278.T2.B6.5	142241.0	1513	1.0	1	7.0	3	4.48
10278.T2.B6.5	146.0	9	146.0	9	146.0	9	4.48
10278.T2.B6.5	59138.0	1786	2.0	2	21.0	4	4.48
10278.T2.B6.5	111.0	36	0.0	0	111.0	36	4.48
10278.T2.B7.20	71882.0	769	8.0	2	5.0	3	4.1
10278.T2.B7.20	6.0	3	6.0	3	6.0	3	4.1
