	N	N_genus
10346.TW11.3.I	53616.0	10.0
10346.TW11.1.III	36691.0	1.0
10156.3C5	145826.0	2.0
10156.6	137706.0	14.0
10156.12	106510.0	2.0
10156.2	102566.0	22.0
10156.35	83851.0	3.0
10156.7	172741.0	7.0
10156.2T5	129958.0	11.0
10156.3C3	92740.0	11.0
10156.20	118954.0	3.0
10156.18	74293.0	34.0
10156.CBFSNW3	99790.0	26.0
10156.E1.1	127541.0	195.0
10156.1T3	537.0	1.0
10156.T3.6	106185.0	32.0
10156.T3.3	111556.0	40.0
10156.CBFSNW2	140814.0	20.0
10156.2B3	83342.0	13.0
10156.3S4	47754.0	6.0
10156.2B1	98298.0	14.0
10156.152b	116898.0	3.0
10156.3C2	156187.0	57.0
10156.32	143268.0	4.0
10156.2B5	144681.0	33.0
10156.44.A	102073.0	43.0
10156.48	99791.0	11.0
10156.16	121821.0	23.0
10156.E1.2	242393.0	176.0
10156.4T1	121853.0	33.0
10156.3S1	45565.0	4.0
10156.NW1.A	96406.0	19.0
10156.4	123725.0	40.0
10156.T6.6	77520.0	58.0
10156.4C4	179273.0	77.0
10156.46	107446.0	20.0
10156.1S2	176226.0	26.0
10156.BCWL4.2	65857.0	31.0
10156.BCWL1.3	72840.0	51.0
10156.50	91321.0	15.0
10156.37	160886.0	77.0
10156.BCWL4.3	58329.0	16.0
10156.T2.4	133497.0	150.0
10156.4S4	153687.0	40.0
10156.BCWL2.1	56815.0	43.0
10156.BCWL4.1	118768.0	31.0
10156.41	88399.0	5.0
10156.BCWL5.1	115716.0	8.0
10156.3S2	118552.0	21.0
10156.N1.5	128115.0	952.0
10156.3C4	124861.0	7.0
10156.4S3	89654.0	76.0
10156.11	142261.0	9.0
10156.1T2	150269.0	6.0
10156.19	110651.0	11.0
10156.N2.3	123206.0	65.0
10156.3S5	191077.0	7.0
10156.3B3	134640.0	7.0
10156.F1.2	101102.0	98.0
10156.1	136091.0	32.0
10156.3B1	174181.0	83.0
10156.2C2	174589.0	20.0
10156.31	143290.0	8.0
10156.4C2	79530.0	34.0
10156.F1.4	72341.0	57.0
10156.BCWL3.1	76751.0	11.0
10156.30	194940.0	2.0
10156.2T3	73194.0	3.0
10156.38	114607.0	41.0
10156.3T3	198518.0	39.0
10156.T6.1	166101.0	405.0
10156.3C1	80736.0	23.0
10156.40	121571.0	10.0
10156.24	7408.0	1.0
10156.N2.2	150200.0	8.0
10156.1B5	8921.0	7.0
10156.N1.3	220802.0	187.0
10156.43	58481.0	24.0
10156.4S1	209141.0	28.0
10156.23	103939.0	5.0
10156.N1.2	168431.0	330.0
10156.T3.5	99081.0	47.0
10156.1B1	148733.0	7.0
10156.3T5	100595.0	10.0
10156.T6.3	118090.0	164.0
10156.T3.4	109292.0	106.0
10156.42	31621.0	1715.0
10156.2T1	135596.0	27.0
10156.1S3.2	189964.0	17.0
10156.1B4	130082.0	4.0
10156.4T4	94925.0	78.0
10156.1T5	196730.0	6.0
10156.49	84780.0	9.0
10156.T6.5	56188.0	42.0
10156.2B2	87672.0	7.0
10156.5	77779.0	4.0
10156.E1.4	151138.0	92.0
10156.F1.1	139457.0	170.0
10156.F1.3	106234.0	88.0
10156.56.A	118939.0	3.0
10156.34	77129.0	1.0
10156.2C3	203320.0	17.0
10156.47	63844.0	32.0
10156.T3.2	118689.0	272.0
10156.T6.4	103997.0	136.0
10156.53	129592.0	7.0
10156.BCWL1.2	48602.0	17.0
10156.36	52565.0	9.0
10156.13	177268.0	18.0
10156.NW4.A	116573.0	72.0
10156.10	103934.0	12.0
10156.1B3	181237.0	13.0
10156.4B2	198276.0	145.0
10156.39	110899.0	9.0
10156.4C3	127706.0	62.0
10156.T2.3	159584.0	239.0
10156.NW2.A	51022.0	3.0
10156.T3.1	128055.0	128.0
10156.N2.4	112320.0	61.0
10156.4B5	199018.0	32.0
10156.F1.5	76147.0	130.0
10156.N2.1	126833.0	24.0
10156.N2.5	123105.0	9.0
10156.55	320263.0	2.0
10156.44	148112.0	46.0
10156.NW3.A	102052.0	9.0
10156.2S2	125066.0	51.0
10156.2T2	153508.0	7.0
10156.1S4	128213.0	7.0
10156.3	90493.0	5.0
10156.E1.5	96977.0	32.0
10156.4B1	83020.0	21.0
10156.3B2	90055.0	22.0
10156.T2.6	153470.0	126.0
10156.2S3	87179.0	15.0
10156.17	122657.0	7.0
10156.E1.3	136149.0	29.0
10156.56	144012.0	3.0
10156.15	114304.0	7.0
10156.3T1	116037.0	51.0
10156.3B5	120668.0	16.0
10156.3B4	80033.0	14.0
10156.T2.2	40313.0	33.0
10156.4T2	137266.0	21.0
10156.2C1	111095.0	17.0
10156.2B4	256860.0	42.0
10156.28	90348.0	9.0
10156.BCWL2.2	31711.0	21.0
10156.2S4	165914.0	28.0
10156.2C5	166686.0	23.0
10156.3T4	96879.0	1.0
10156.2S1	85277.0	37.0
10156.2C4	209890.0	15.0
10156.BCWL3.3	101251.0	14.0
10156.3T2	100565.0	42.0
10156.BCWL3.2	99494.0	15.0
10156.BCWL5.2	104467.0	8.0
10156.BCWL1.1	74942.0	8.0
10156.2S5	146438.0	19.0
10156.22	105853.0	7.0
10156.NW5.A	142386.0	61.0
10156.N1.4	143360.0	563.0
10156.45	108913.0	1.0
10156.21	80700.0	2.0
10156.T6.2	126712.0	185.0
10156.T2.5	141130.0	117.0
10156.BCWL2.3	56018.0	41.0
10156.BCWL5.3	163492.0	17.0
10156.52	144740.0	5.0
10156.14	6280.0	2.0
10156.2T4	93442.0	15.0
10156.1S1	130705.0	6.0
2192.H03a.Nose.1383.lane6.NoIndex.L006	15511.0	10.0
2192.H06b.Kitchen.Counter.3193.lane2.NoIndex.L002	95526.0	102.0
2192.H01a.Hand.184.lane2.NoIndex.L002	79236.0	73.0
2192.H02a.Bedroom.Floor.604.lane2.NoIndex.L002	70807.0	5.0
2192.H05b.Kitchen.Counter.2545.lane5.NoIndex.L005	75625.0	2.0
2192.H05b.Foot.2411.lane6.NoIndex.L006	83347.0	7.0
2192.H04a.Dog.Foot.2012.lane5.NoIndex.L005	62954.0	24.0
2192.H07b.Kitchen.Counter.3961.lane2.NoIndex.L002	83987.0	434.0
2192.H04a.Nose.1911.lane6.NoIndex.L006	78011.0	4.0
2192.H07b.Kitchen.Counter.4033.lane2.NoIndex.L002	97931.0	4.0
2192.H05b.Bedroom.Floor.2524.lane5.NoIndex.L005	58521.0	5.0
2192.H03a.Foot.1352.lane6.NoIndex.L006	79899.0	621.0
2192.H03a.Hand.1231.lane5.NoIndex.L005	63531.0	5.0
2192.H02a.Bathroom.Door.Knob.774.lane2.NoIndex.L002	93271.0	6.0
2192.H03a.Foot.1478.lane6.NoIndex.L006	79158.0	141.0
2192.H04a.Dog.Nose.1920.lane6.NoIndex.L006	82886.0	98.0
2192.H03a.Foot.1526.lane6.NoIndex.L006	76150.0	135.0
2192.H05b.Front.Door.Knob.2429.lane2.NoIndex.L002	109150.0	60.0
2192.H01a.Bedroom.Floor.76.lane1.NoIndex.L001	138229.0	389.0
2192.H02a.Hand.703.lane2.NoIndex.L002	68779.0	18.0
2192.H03a.Kitchen.Counter.1369.lane5.NoIndex.L005	93531.0	122.0
2192.H06b.Kitchen.Light.Switch.3339.lane5.NoIndex.L005	49928.0	1.0
2192.H05b.Kitchen.Counter.2737.lane5.NoIndex.L005	78958.0	2.0
2192.H01a.Front.Door.Knob.29.lane1.NoIndex.L001	75582.0	215.0
2192.H05b.Foot.2891.lane5.NoIndex.L005	58032.0	39.0
2192.H05b.Kitchen.Floor.2858.lane1.NoIndex.L001	58766.0	15.0
2192.H06b.Hand.3277.lane6.NoIndex.L006	78229.0	133.0
2192.H03a.Hand.1501.lane6.NoIndex.L006	72601.0	41.0
2192.H03a.Hand.1234.lane5.NoIndex.L005	64072.0	22.0
2192.H07b.Hand.4111.lane6.NoIndex.L006	65916.0	43.0
2192.H05b.Kitchen.Counter.2593.lane5.NoIndex.L005	84252.0	50.0
2192.H04a.Foot.2072.lane6.NoIndex.L006	87797.0	43.0
2192.H05b.Hand.2962.lane5.NoIndex.L005	68008.0	20.0
2192.H05b.Hand.2575.lane6.NoIndex.L006	49787.0	102.0
2192.H05b.Bathroom.Door.Knob.2958.lane1.NoIndex.L001	59194.0	6.0
2192.H03a.Bedroom.Floor.1420.lane5.NoIndex.L005	96790.0	94.0
2192.H07a.Cat.Fur.3782.lane6.NoIndex.L006	76240.0	501.0
2192.H04a.Dog.Nose.1896.lane6.NoIndex.L006	58209.0	106.0
2192.H05b.Kitchen.Floor.2666.lane5.NoIndex.L005	75752.0	4.0
2192.H04a.Bathroom.Door.Knob.2046.lane2.NoIndex.L002	81565.0	140.0
2192.H01a.Kitchen.Counter.289.lane2.NoIndex.L002	60696.0	31.0
2192.H04a.Foot.2078.lane6.NoIndex.L006	70091.0	38.0
2192.H01a.Hand.205.lane2.NoIndex.L002	90515.0	10.0
2192.H01a.Front.Door.Knob.77.lane1.NoIndex.L001	115984.0	136.0
2192.H06b.Hand.3226.lane6.NoIndex.L006	65791.0	37.0
2192.H04a.Dog.Foot.1919.lane6.NoIndex.L006	82024.0	11.0
2192.H04a.Hand.1837.lane6.NoIndex.L006	87234.0	14.0
2192.H01a.Nose.63.lane6.NoIndex.L006	92971.0	1705.0
2192.H04a.Nose.1809.lane6.NoIndex.L006	63414.0	910.0
2192.H04a.Foot.2075.lane6.NoIndex.L006	83311.0	1.0
2192.H06b.Bedroom.Floor.3124.lane5.NoIndex.L005	63110.0	25.0
2192.H01a.Foot.230.lane2.NoIndex.L002	78732.0	18.0
2192.H03a.Nose.1236.lane6.NoIndex.L006	61815.0	477.0
2192.H03a.Kitchen.Counter.1513.lane5.NoIndex.L005	113173.0	32.0
2192.H05b.Kitchen.Floor.2594.lane5.NoIndex.L005	93080.0	64.0
2192.H05b.Hand.2479.lane6.NoIndex.L006	61397.0	9.0
2192.H05b.Foot.2648.lane5.NoIndex.L005	55486.0	177.0
2192.H07a.Bathroom.Door.Knob.3750.lane2.NoIndex.L002	89474.0	265.0
2192.H07a.Nose.3660.lane6.NoIndex.L006	80229.0	1.0
2192.H05b.Foot.2987.lane5.NoIndex.L005	66212.0	127.0
2192.H02a.Hand.679.lane2.NoIndex.L002	63872.0	2.0
2192.H01a.Bedroom.Floor.28.lane1.NoIndex.L001	84213.0	52.0
2192.H03a.Front.Door.Knob.1229.lane5.NoIndex.L005	110674.0	98.0
2192.H04a.Dog.Nose.1962.lane6.NoIndex.L006	88515.0	78.0
2192.H03a.Nose.1212.lane6.NoIndex.L006	83423.0	1851.0
2192.H04a.Hand.1957.lane6.NoIndex.L006	65707.0	49.0
2192.H02a.Kitchen.Counter.889.lane2.NoIndex.L002	68275.0	85.0
2192.H01a.Kitchen.Floor.122.lane1.NoIndex.L001	112510.0	957.0
2192.H07a.Foot.3632.lane6.NoIndex.L006	87145.0	11.0
2192.H05b.Foot.2504.lane6.NoIndex.L006	69545.0	2.0
2192.H01a.Kitchen.Counter.217.lane2.NoIndex.L002	56538.0	112.0
2192.H06a.Foot.3014.lane5.NoIndex.L005	61633.0	1068.0
2192.H05b.Hand.2551.lane6.NoIndex.L006	60008.0	70.0
2192.H03a.Kitchen.Floor.1490.lane5.NoIndex.L005	62817.0	83.0
2192.H07a.Foot.3755.lane6.NoIndex.L006	74050.0	42.0
2192.H02a.Kitchen.Counter.673.lane2.NoIndex.L002	70527.0	38.0
2192.H06b.Foot.3056.lane5.NoIndex.L005	63374.0	10.0
2192.H05b.Hand.2914.lane5.NoIndex.L005	61031.0	11.0
2192.H07b.Bathroom.Door.Knob.4038.lane2.NoIndex.L002	97742.0	111.0
2192.H06b.Nose.3276.lane6.NoIndex.L006	71408.0	20.0
2192.H03a.Front.Door.Knob.1277.lane5.NoIndex.L005	79520.0	406.0
2192.H07b.Front.Door.Knob.3965.lane2.NoIndex.L002	75638.0	10.0
2192.H04a.Foot.2003.lane6.NoIndex.L006	87969.0	3.0
2192.H03a.Kitchen.Light.Switch.1275.lane5.NoIndex.L005	94793.0	18.0
2192.H06b.Hand.3301.lane6.NoIndex.L006	60984.0	1.0
2192.H03a.Nose.1332.lane6.NoIndex.L006	58008.0	293.0
2192.H06b.Foot.3227.lane6.NoIndex.L006	63041.0	4.0
2192.H04a.Dog.Foot.2108.lane6.NoIndex.L006	75295.0	1.0
2192.H03a.Foot.1400.lane6.NoIndex.L006	72279.0	438.0
2192.H01a.Hand.298.lane2.NoIndex.L002	81143.0	1.0
2192.H03a.Hand.1381.lane6.NoIndex.L006	81850.0	157.0
2192.H05b.Front.Door.Knob.2909.lane1.NoIndex.L001	70515.0	3.0
2192.H06a.Foot.3032.lane5.NoIndex.L005	71730.0	310.0
2192.H02a.Kitchen.Floor.650.lane2.NoIndex.L002	53355.0	32.0
2192.H02a.Kitchen.Light.Switch.915.lane2.NoIndex.L002	46689.0	3.0
2192.H01a.Foot.104.lane2.NoIndex.L002	90715.0	77.0
2192.H03a.Foot.1379.lane6.NoIndex.L006	89584.0	10.0
2192.H01a.Kitchen.Floor.26.lane1.NoIndex.L001	76395.0	474.0
2192.H04a.Kitchen.Light.Switch.1875.lane6.NoIndex.L006	76593.0	12.0
2192.H07b.Kitchen.Floor.4178.lane6.NoIndex.L006	47208.0	118.0
2192.H06b.Foot.3179.lane5.NoIndex.L005	81632.0	15.0
2192.H05b.Front.Door.Knob.2501.lane5.NoIndex.L005	56192.0	42.0
2192.H06b.Hand.3085.lane5.NoIndex.L005	44601.0	46.0
2192.H01a.Nose.225.lane6.NoIndex.L006	51333.0	189.0
2192.H07a.Hand.3775.lane6.NoIndex.L006	74632.0	61.0
2192.H04a.Dog.Nose.1845.lane6.NoIndex.L006	70394.0	15.0
2192.H01a.Kitchen.Counter.145.lane1.NoIndex.L001	89004.0	151.0
2192.H01a.Hand.109.lane2.NoIndex.L002	86632.0	76.0
2192.H05b.Foot.2624.lane5.NoIndex.L005	66334.0	63.0
2192.H01a.Nose.42.lane6.NoIndex.L006	79179.0	47.0
2192.H02a.Front.Door.Knob.821.lane2.NoIndex.L002	59012.0	37.0
2192.H03a.Front.Door.Knob.1349.lane5.NoIndex.L005	102734.0	154.0
2192.H05b.Bathroom.Door.Knob.2718.lane5.NoIndex.L005	79482.0	7.0
2192.H05b.Hand.2458.lane6.NoIndex.L006	64665.0	6.0
2192.H01a.Foot.281.lane2.NoIndex.L002	70346.0	5.0
2192.H04a.Hand.2047.lane5.NoIndex.L005	61041.0	10.0
2192.H06b.Hand.3202.lane6.NoIndex.L006	63530.0	1.0
2192.H04a.Dog.Foot.1991.lane6.NoIndex.L006	82947.0	13.0
2192.H01a.Kitchen.Light.Switch.171.lane2.NoIndex.L002	71223.0	1.0
2192.H01a.Kitchen.Floor.98.lane1.NoIndex.L001	97721.0	563.0
2192.H01a.Foot.254.lane2.NoIndex.L002	61968.0	38.0
2192.H06a.Nose.3033.lane6.NoIndex.L006	67153.0	26.0
2192.H06b.Hand.3295.lane6.NoIndex.L006	66168.0	236.0
2192.H06b.Nose.3108.lane6.NoIndex.L006	83148.0	117.0
2192.H05b.Foot.2600.lane6.NoIndex.L006	65341.0	25.0
2192.H06b.Kitchen.Counter.3361.lane5.NoIndex.L005	48918.0	3.0
2192.H05b.Bedroom.Floor.2908.lane1.NoIndex.L001	68121.0	26.0
2192.H03a.Kitchen.Floor.1226.lane5.NoIndex.L005	129196.0	545.0
2192.H02a.Hand.607.lane2.NoIndex.L002	71553.0	19.0
2192.H02a.Kitchen.Counter.625.lane2.NoIndex.L002	54145.0	472.0
2192.H05b.Kitchen.Light.Switch.2955.lane1.NoIndex.L001	55816.0	93.0
2192.H03a.Kitchen.Counter.1201.lane2.NoIndex.L002	93855.0	37.0
2192.H01a.Hand.16.lane1.NoIndex.L001	136828.0	71.0
2192.H07b.Front.Door.Knob.3869.lane2.NoIndex.L002	52269.0	288.0
2192.H07a.Kitchen.Counter.3721.lane2.NoIndex.L002	117039.0	43.0
2192.H04a.Hand.1810.lane6.NoIndex.L006	86886.0	48.0
2192.H05b.Hand.2938.lane5.NoIndex.L005	49858.0	432.0
2192.H01a.Nose.327.lane6.NoIndex.L006	17589.0	16.0
2192.H06b.Bedroom.Floor.3268.lane2.NoIndex.L002	69048.0	9.0
2192.H04a.Kitchen.Counter.1825.lane5.NoIndex.L005	89252.0	10.0
2192.H06b.Foot.3203.lane6.NoIndex.L006	68028.0	75.0
2192.H06b.Foot.3272.lane6.NoIndex.L006	59042.0	87.0
2192.H07a.Front.Door.Knob.3677.lane2.NoIndex.L002	99032.0	4.0
2192.H01a.Foot.257.lane2.NoIndex.L002	87661.0	59.0
2192.H07a.Kitchen.Counter.3769.lane2.NoIndex.L002	104648.0	2.0
2192.H01a.Front.Door.Knob.53.lane1.NoIndex.L001	83282.0	71.0
2192.H04a.Dog.Nose.2109.lane6.NoIndex.L006	99980.0	48.0
2192.H07b.Foot.3848.lane6.NoIndex.L006	63087.0	68.0
2192.H05b.Hand.2623.lane5.NoIndex.L005	92220.0	127.0
2192.H06b.Hand.3271.lane6.NoIndex.L006	72262.0	11.0
2192.H05b.Kitchen.Light.Switch.2787.lane6.NoIndex.L006	78908.0	5.0
2192.H05b.Bedroom.Floor.2812.lane6.NoIndex.L006	57403.0	1.0
2192.H06b.Nose.3111.lane6.NoIndex.L006	64306.0	48.0
2192.H07a.Cat.Fur.3758.lane6.NoIndex.L006	92473.0	14.0
2192.H07b.Cat.Fur.3950.lane6.NoIndex.L006	71829.0	44.0
2192.H01a.Nose.132.lane6.NoIndex.L006	50916.0	94.0
2192.H02a.Kitchen.Floor.746.lane2.NoIndex.L002	105768.0	299.0
2192.H03a.Kitchen.Counter.1345.lane5.NoIndex.L005	122429.0	18.0
2192.H05b.Nose.2916.lane5.NoIndex.L005	88464.0	25.0
2192.H03a.Nose.1353.lane6.NoIndex.L006	52111.0	1124.0
2192.H01a.Front.Door.Knob.245.lane2.NoIndex.L002	51193.0	4.0
2192.H05b.Kitchen.Floor.2498.lane5.NoIndex.L005	44049.0	31.0
2192.H01a.Kitchen.Light.Switch.99.lane1.NoIndex.L001	101371.0	2.0
2192.H03a.Nose.1431.lane6.NoIndex.L006	79958.0	17.0
2192.H06b.Foot.3248.lane6.NoIndex.L006	71981.0	1106.0
2192.H04a.Front.Door.Knob.2093.lane2.NoIndex.L002	101749.0	183.0
2192.H01a.Foot.161.lane2.NoIndex.L002	85378.0	10.0
2192.H01a.Foot.299.lane2.NoIndex.L002	81169.0	34.0
2192.H03a.Kitchen.Counter.1225.lane5.NoIndex.L005	128517.0	222.0
2192.H03a.Foot.1334.lane6.NoIndex.L006	58805.0	66.0
2192.H03a.Bedroom.Floor.1372.lane5.NoIndex.L005	117096.0	130.0
2192.H02a.Kitchen.Counter.865.lane2.NoIndex.L002	47594.0	11.0
2192.H02a.Foot.848.lane5.NoIndex.L005	70464.0	21.0
2192.H03a.Kitchen.Floor.1346.lane5.NoIndex.L005	100686.0	86.0
2192.H03a.Nose.1284.lane6.NoIndex.L006	53041.0	8.0
2192.H05b.Foot.2696.lane5.NoIndex.L005	79277.0	544.0
2192.H05b.Front.Door.Knob.2813.lane6.NoIndex.L006	65585.0	86.0
2192.H04a.Foot.1979.lane6.NoIndex.L006	80580.0	46.0
2192.H04a.Kitchen.Counter.1849.lane5.NoIndex.L005	117596.0	80.0
2192.H04a.Front.Door.Knob.1901.lane6.NoIndex.L006	75118.0	13.0
2192.H01a.Front.Door.Knob.149.lane1.NoIndex.L001	89150.0	81.0
2192.H04a.Hand.1933.lane6.NoIndex.L006	78544.0	10.0
2192.H04a.Bathroom.Door.Knob.1830.lane5.NoIndex.L005	75327.0	69.0
2192.H03a.Kitchen.Light.Switch.1371.lane5.NoIndex.L005	92568.0	8.0
2192.H02a.Bathroom.Door.Knob.822.lane2.NoIndex.L002	52471.0	19.0
2192.H07b.Nose.3972.lane1.NoIndex.L001	122189.0	28.0
2192.H06b.Hand.3175.lane5.NoIndex.L005	72196.0	63.0
2192.H02a.Front.Door.Knob.773.lane2.NoIndex.L002	94175.0	84.0
2192.H07a.Nose.3657.lane6.NoIndex.L006	76267.0	14.0
2192.H06b.Hand.3151.lane5.NoIndex.L005	54163.0	85.0
2192.H06b.Kitchen.Floor.3098.lane1.NoIndex.L001	69981.0	157.0
2192.H01a.Nose.297.lane6.NoIndex.L006	45015.0	7.0
2192.H04a.Kitchen.Floor.1874.lane6.NoIndex.L006	90787.0	34.0
2192.H01a.Foot.182.lane2.NoIndex.L002	92303.0	27.0
2192.H03a.Kitchen.Counter.1441.lane5.NoIndex.L005	98805.0	135.0
2192.H07b.Nose.4041.lane1.NoIndex.L001	126291.0	54.0
2192.H05b.Kitchen.Counter.2617.lane5.NoIndex.L005	72880.0	26.0
2192.H02a.Kitchen.Light.Switch.795.lane2.NoIndex.L002	76874.0	1.0
2192.H04a.Hand.1930.lane6.NoIndex.L006	75902.0	39.0
2192.H02a.Bathroom.Door.Knob.630.lane2.NoIndex.L002	50500.0	11.0
2192.H01a.Nose.228.lane6.NoIndex.L006	76130.0	2.0
2192.H03a.Kitchen.Floor.1442.lane5.NoIndex.L005	67780.0	10.0
2192.H02a.Kitchen.Light.Switch.627.lane2.NoIndex.L002	56498.0	75.0
2192.H03a.Hand.1333.lane6.NoIndex.L006	89846.0	1118.0
2192.H05b.Kitchen.Counter.2521.lane5.NoIndex.L005	68140.0	67.0
2192.H01a.Foot.305.lane2.NoIndex.L002	79969.0	3.0
2192.H04a.Front.Door.Knob.1925.lane6.NoIndex.L006	76424.0	54.0
2192.H04a.Nose.1935.lane6.NoIndex.L006	69080.0	1929.0
2192.H03a.Kitchen.Light.Switch.1323.lane5.NoIndex.L005	106963.0	77.0
2192.H07a.Hand.3730.lane6.NoIndex.L006	88879.0	2.0
2192.H07a.Cat.Fur.3686.lane6.NoIndex.L006	85553.0	3.0
2192.H01a.Nose.282.lane6.NoIndex.L006	58687.0	59.0
2192.H05b.Hand.2839.lane5.NoIndex.L005	70303.0	13.0
2192.H05b.Kitchen.Floor.2954.lane1.NoIndex.L001	63416.0	2.0
2192.H03a.Foot.1208.lane5.NoIndex.L005	67474.0	5.0
2192.H02a.Kitchen.Floor.866.lane2.NoIndex.L002	61378.0	255.0
2192.H07b.Nose.3852.lane1.NoIndex.L001	71494.0	89.0
2192.H06b.Nose.3207.lane6.NoIndex.L006	72154.0	7.0
2192.H07b.Kitchen.Counter.3937.lane2.NoIndex.L002	74046.0	963.0
2192.H03a.Kitchen.Light.Switch.1515.lane5.NoIndex.L005	93481.0	31.0
2192.H04a.Kitchen.Light.Switch.2067.lane2.NoIndex.L002	102904.0	7.0
2192.H01a.Hand.106.lane2.NoIndex.L002	83160.0	11.0
2192.H07b.Kitchen.Light.Switch.4179.lane6.NoIndex.L006	56120.0	1094.0
2192.H07b.Cat.Fur.3854.lane6.NoIndex.L006	61859.0	11.0
2192.H03a.Nose.1401.lane6.NoIndex.L006	77611.0	8.0
2192.H04a.Dog.Foot.2015.lane5.NoIndex.L005	65513.0	18.0
2192.H06a.Nose.3015.lane6.NoIndex.L006	81118.0	32.0
2192.H01a.Nose.183.lane6.NoIndex.L006	43608.0	391.0
2192.H04a.Hand.1861.lane6.NoIndex.L006	81906.0	12.0
2192.H04a.Bedroom.Floor.1828.lane5.NoIndex.L005	90141.0	3.0
2192.H07b.Foot.4067.lane6.NoIndex.L006	87542.0	14.0
2192.H06b.Foot.3296.lane6.NoIndex.L006	58345.0	139.0
2192.H07b.Bathroom.Door.Knob.4158.lane6.NoIndex.L006	68428.0	5.0
2192.H02a.Nose.873.lane6.NoIndex.L006	79625.0	1829.0
2192.H05b.Nose.2457.lane5.NoIndex.L005	70991.0	72.0
2192.H07b.Foot.4019.lane6.NoIndex.L006	87874.0	18.0
2192.H01a.Nose.114.lane6.NoIndex.L006	52920.0	859.0
2192.H01a.Kitchen.Floor.74.lane1.NoIndex.L001	103930.0	1029.0
2192.H03a.Bedroom.Floor.1276.lane5.NoIndex.L005	37620.0	20.0
2192.H01a.Front.Door.Knob.269.lane2.NoIndex.L002	65249.0	12.0
2192.H01a.Kitchen.Counter.73.lane1.NoIndex.L001	104972.0	812.0
2192.H05b.Kitchen.Counter.2641.lane5.NoIndex.L005	65022.0	68.0
2192.H03a.Kitchen.Light.Switch.1467.lane5.NoIndex.L005	59564.0	2.0
2192.H07a.Kitchen.Floor.3746.lane2.NoIndex.L002	102247.0	418.0
2192.H01a.Bathroom.Door.Knob.78.lane1.NoIndex.L001	121090.0	4.0
2192.H06b.Front.Door.Knob.3293.lane5.NoIndex.L005	61611.0	7.0
2192.H03a.Hand.1405.lane6.NoIndex.L006	78094.0	120.0
2192.H04a.Foot.1883.lane6.NoIndex.L006	51939.0	9.0
2192.H05b.Bedroom.Floor.2428.lane2.NoIndex.L002	131933.0	3.0
2192.H05b.Nose.2481.lane5.NoIndex.L005	92658.0	209.0
2192.H01a.Foot.179.lane2.NoIndex.L002	88955.0	17.0
2192.H07b.Foot.4040.lane6.NoIndex.L006	45620.0	45.0
2192.H05b.Bathroom.Door.Knob.2430.lane2.NoIndex.L002	90785.0	105.0
2192.H06b.Kitchen.Floor.3146.lane5.NoIndex.L005	43026.0	1.0
2192.H03a.Foot.1520.lane6.NoIndex.L006	61641.0	58.0
2192.H02a.Kitchen.Counter.913.lane2.NoIndex.L002	56980.0	13.0
2192.H01a.Hand.136.lane2.NoIndex.L002	66315.0	15.0
2192.H06b.Nose.3132.lane6.NoIndex.L006	64021.0	1.0
2192.H02a.Bedroom.Floor.700.lane2.NoIndex.L002	104432.0	237.0
2192.H06b.Front.Door.Knob.3149.lane5.NoIndex.L005	54168.0	12.0
2192.H03a.Bedroom.Floor.1300.lane5.NoIndex.L005	97281.0	68.0
